fold,model,enc,k,M,d,r2,mae,secs
2017Q1,DynET-mer (searched),FT-32x2,16,12,31,0.8601580175951045,0.04475448441500009,218.55136574903736
2017Q1,Dynamic ET,,0,9,0,0.8535501368296718,0.04777340238066676,3.253186416986864
2017Q1,ET,,0,9,0,0.8135561563162119,0.05776343318166671,2.7873938329867087
2017Q1,RF,,0,9,0,0.8358810819897372,0.0528465550556801,1.4219992920407094
2017Q1,FT-Transformer,,0,9,0,0.8581586756359386,0.03921950812431653,95.7360802500043
2017Q1,SVI,,0,9,0,0.7571550671932907,0.07292241447184204,3.3068942499812692
2017Q2,DynET-mer (searched),iT-32x3,16,12,31,0.912428291214018,0.02680671124799999,242.1245388330426
2017Q2,Dynamic ET,,0,9,0,0.9282416373638229,0.026063203067333323,3.6393319580238312
2017Q2,ET,,0,9,0,0.9249726341985838,0.026095398611999984,2.912788583955262
2017Q2,RF,,0,9,0,0.9278112240024499,0.027535509392042,1.3481036250013858
2017Q2,FT-Transformer,,0,9,0,0.8900571287885033,0.0333105520273234,95.38790216704365
2017Q2,SVI,,0,9,0,0.773415220776765,0.061180180131360375,3.270697375002783
2017Q3,DynET-mer (searched),FT-32x2,16,11,31,0.8819062264244779,0.03530806189333339,214.5231968750013
2017Q3,Dynamic ET,,0,9,0,0.9132317633888174,0.03409257215533335,3.377693582966458
2017Q3,ET,,0,9,0,0.9112620363122235,0.03455399218733337,2.926272417011205
2017Q3,RF,,0,9,0,0.9130946701644794,0.034346917799220965,1.3683872499968857
2017Q3,FT-Transformer,,0,9,0,0.8784687194728731,0.038920954092672974,96.79882195801474
2017Q3,SVI,,0,9,0,0.7465200040040956,0.060996532908973174,3.657120208023116
2017Q4,DynET-mer (searched),iT-64x2,16,11,31,0.9007406415562862,0.03173104645199994,217.0266789579764
2017Q4,Dynamic ET,,0,9,0,0.9155059924022452,0.030684937660666673,3.53907087497646
2017Q4,ET,,0,9,0,0.909002069677953,0.03147300558666668,2.7959853329812177
2017Q4,RF,,0,9,0,0.9088569055676692,0.03146195444411206,1.368583207949996
2017Q4,FT-Transformer,,0,9,0,0.9031822376265348,0.032385331225942615,95.71128400001908
