fold,model,d,M_blocks,r2,mae,rmse,secs
2017Q1,Dynamic ET (ours),15,9,0.8523126924932837,0.04816738674566665,0.08499708027911378,3.334115582983941
2017Q1,ET,7,9,0.8125391082218331,0.05784314648466663,0.09576079887608113,2.7822184590040706
2017Q1,RF,7,9,0.8510724532055512,0.050459849827672494,0.08535322573607945,1.3441756670363247
2017Q1,MLP,7,9,0.5518298125443458,0.0861771106338108,0.14806550866613147,0.8899279999895953
2017Q1,LSTM,7,9,-0.001372192595636701,0.148098497438371,0.22132485314089315,5.512364415975753
2017Q1,GRU,7,9,0.019411414052412534,0.1488788459827156,0.21901599750194256,3.2797662499942817
2017Q1,iTransformer,7,9,0.8735796685445034,0.039673356999818804,0.07863952533606916,71.08923099999083
2017Q1,SVI,7,9,0.7693831501366168,0.07102997914344304,0.10621306436624307,3.1443863330059685
2017Q1,Heston,7,9,-0.04876586864185661,0.160904557749969,0.2265018187737566,2.5572282079956494
2017Q2,Dynamic ET (ours),15,9,0.9251814729104094,0.02628105745333334,0.0561379939998553,3.242595124989748
2017Q2,ET,7,9,0.9154329387731471,0.02692826208466666,0.05968331428714632,2.7351272919913754
2017Q2,RF,7,9,0.9217713392329612,0.027981614163151047,0.05740308858882898,1.3236060419585556
2017Q2,MLP,7,9,-0.6605815349890107,0.20930340316835416,0.2644736535947291,0.8201267080148682
2017Q2,LSTM,7,9,0.025833123754812948,0.126592996541378,0.20256713789627964,4.28583141596755
2017Q2,GRU,7,9,0.07497806789072581,0.11805899744783528,0.1973914455933824,3.2263195420382544
2017Q2,iTransformer,7,9,0.8909081586548319,0.031789303947770436,0.06778731758359148,70.29485158296302
2017Q2,SVI,7,9,0.7678425576867242,0.06136568893234041,0.09888800557258057,3.5718421670026146
2017Q2,Heston,7,9,-0.044731776146165414,0.14899878973260117,0.20977547578184258,3.591333291027695
2017Q3,Dynamic ET (ours),15,9,0.9089311469419379,0.03446365782599999,0.06223836554144414,5.738270458008628
2017Q3,ET,7,9,0.911210247673885,0.03452110504999996,0.06145463842228147,4.588140707986895
2017Q3,RF,7,9,0.9139520476848872,0.034524989628023986,0.060498347958276064,2.4078595000319183
2017Q3,MLP,7,9,0.23226209762281325,0.12545631551058842,0.18070898076165512,0.868339458014816
2017Q3,LSTM,7,9,0.01703735292929731,0.11394589076854705,0.20447572320180574,13.907605250016786
2017Q3,GRU,7,9,0.05203292873197907,0.10723319360405477,0.20080284952537558,11.171741708007175
2017Q3,iTransformer,7,9,0.8900170706958417,0.03739208006009769,0.06839681628688452,127.49314966599923
2017Q3,SVI,7,9,0.7741147800531948,0.05898680972709479,0.09802055407986959,5.641054916020948
2017Q3,Heston,7,9,-0.016679725068619478,0.13525416746196467,0.20795306554466025,4.411043583997525
2017Q4,Dynamic ET (ours),15,9,0.9190289027654727,0.030412854209333352,0.06622003007089838,6.962956042028964
2017Q4,ET,7,9,0.911373570518621,0.031260756546,0.06927969833764579,5.780898083001375
2017Q4,RF,7,9,0.9178735709444419,0.030774456085711246,0.06669078528155473,2.9227866669534706
2017Q4,MLP,7,9,0.37052766911722035,0.11691760939186799,0.18463442741630012,1.1160928750177845
2017Q4,LSTM,7,9,0.010017172776541683,0.13487081041670734,0.2315464847046608,18.723103500029538
2017Q4,GRU,7,9,0.03726694799397323,0.1310688128725961,0.22833753188973005,18.06006441701902
2017Q4,iTransformer,7,9,0.9019625628055989,0.03116912044967747,0.07286522936693884,112.2057521250099
2017Q4,SVI,7,9,0.7451265827960403,0.07077731004933102,0.11748613918627174,3.5978831669781357
