fold,model,trees,d,M_blocks,r2,mae
2017Q1,"Dynamic ET, 18 col",1000,18,8,0.8583010623959797,0.04590751565633334
2017Q1,"BF-varsel, 7 col",500,7,8,0.7505620558966755,0.07158963704306825
2017Q1,"BF-default, 7 col",500,7,8,0.723780038518353,0.07339798792255106
2017Q1,"BF-corr, 7 col",500,7,8,0.7494178790707687,0.07086300103723517
2017Q2,"Dynamic ET, 18 col",1000,18,8,0.9264171650632013,0.02607078577933336
2017Q2,"BF-varsel, 7 col",500,7,8,0.8244682986787558,0.038524885126002044
2017Q2,"BF-default, 7 col",500,7,8,0.7934342655099788,0.04355804161666643
2017Q2,"BF-corr, 7 col",500,7,8,0.8312222711168444,0.03700814121489781
2017Q3,"Dynamic ET, 18 col",1000,18,8,0.9072850913832868,0.034564076093999974
2017Q3,"BF-varsel, 7 col",500,7,8,0.856930935501839,0.03881168965070491
2017Q3,"BF-default, 7 col",500,7,8,0.8005975705912723,0.04278569358312625
2017Q3,"BF-corr, 7 col",500,7,8,0.8671588953890725,0.03426190315359469
2017Q4,"Dynamic ET, 18 col",1000,18,8,0.919249245354691,0.029966737092666677
2017Q4,"BF-varsel, 7 col",500,7,8,0.8353848277484945,0.04198783080626742
2017Q4,"BF-default, 7 col",500,7,8,0.7874231672194723,0.04830043572972883
2017Q4,"BF-corr, 7 col",500,7,8,0.8511165816966808,0.04075758375278228
2018Q1,"Dynamic ET, 18 col",1000,18,8,0.9151101203106162,0.033524695914
2018Q1,"BF-varsel, 7 col",500,7,8,0.8277384580495915,0.04370738136468839
2018Q1,"BF-default, 7 col",500,7,8,0.7602994337317937,0.05100411885539505
2018Q1,"BF-corr, 7 col",500,7,8,0.8567077049348408,0.04029121365054186
2018Q2,"Dynamic ET, 18 col",1000,18,8,0.9389129830753994,0.029932022104666712
2018Q2,"BF-varsel, 7 col",500,7,8,0.881399076490628,0.04116488102228344
2018Q2,"BF-default, 7 col",500,7,8,0.8426280623163067,0.048257873611196725
2018Q2,"BF-corr, 7 col",500,7,8,0.8904668580000143,0.04160946022124336
2018Q3,"Dynamic ET, 18 col",1000,18,8,0.9396447317195418,0.031207237751333362
2018Q3,"BF-varsel, 7 col",500,7,8,0.8453193766519335,0.048853853317973595
2018Q3,"BF-default, 7 col",500,7,8,0.8168968805481276,0.050497257460137175
2018Q3,"BF-corr, 7 col",500,7,8,0.8603095115287096,0.04530609096173474
2018Q4,"Dynamic ET, 18 col",1000,18,8,0.8478005478456625,0.06190522978466668
2018Q4,"BF-varsel, 7 col",500,7,8,0.7625453415550741,0.06815664312019584
2018Q4,"BF-default, 7 col",500,7,8,0.6914487903304866,0.0731313211931394
2018Q4,"BF-corr, 7 col",500,7,8,0.7801968134740975,0.06461126064955909
2019Q1,"Dynamic ET, 18 col",1000,18,8,0.9300064307824952,0.03678545757366667
2019Q1,"BF-varsel, 7 col",500,7,8,0.8653244863627741,0.049826316567888156
2019Q1,"BF-default, 7 col",500,7,8,0.8160655596911387,0.055779771772714114
2019Q1,"BF-corr, 7 col",500,7,8,0.8711924787993284,0.046780507639354
2019Q2,"Dynamic ET, 18 col",1000,18,9,0.9206073921607912,0.03628384053800002
2019Q2,"BF-varsel, 7 col",500,7,9,0.8729466633223784,0.041242927547725614
2019Q2,"BF-default, 7 col",500,7,9,0.8261571238138063,0.04625826253699895
2019Q2,"BF-corr, 7 col",500,7,9,0.8699203536381528,0.03921288156350506
2019Q3,"Dynamic ET, 18 col",1000,18,8,0.9272244278891911,0.029904024102666675
2019Q3,"BF-varsel, 7 col",500,7,8,0.8876178262820119,0.03368968617365779
2019Q3,"BF-default, 7 col",500,7,8,0.8463704173260307,0.03711818136311648
2019Q3,"BF-corr, 7 col",500,7,8,0.8939680566776019,0.03318391109554124
2019Q4,"Dynamic ET, 18 col",1000,18,8,0.9172672493882793,0.0321660176453333
2019Q4,"BF-varsel, 7 col",500,7,8,0.8538853126473831,0.04019699441664401
2019Q4,"BF-default, 7 col",500,7,8,0.8194340522439026,0.04514246008125396
2019Q4,"BF-corr, 7 col",500,7,8,0.8279934202024077,0.04609427768599742
2020Q1,"Dynamic ET, 18 col",1000,18,8,0.6291507542683347,0.09804160170166666
2020Q1,"BF-varsel, 7 col",500,7,8,0.48697714840536477,0.11089963631604163
2020Q1,"BF-default, 7 col",500,7,8,0.44119016150331314,0.1133410360454389
2020Q1,"BF-corr, 7 col",500,7,8,0.48778219382653865,0.11196196467618832
2020Q2,"Dynamic ET, 18 col",1000,18,8,0.8851884047328245,0.06122825804399999
2020Q2,"BF-varsel, 7 col",500,7,8,0.815697303128173,0.06454132974598983
2020Q2,"BF-default, 7 col",500,7,8,0.7791114281444638,0.06654807398320865
2020Q2,"BF-corr, 7 col",500,7,8,0.8190777228992207,0.06414860354143041
2020Q3,"Dynamic ET, 18 col",1000,18,8,0.7585851164412891,0.0917936725573334
2020Q3,"BF-varsel, 7 col",500,7,8,0.6937026293124577,0.08949695605758128
2020Q3,"BF-default, 7 col",500,7,8,0.6384211116832332,0.09690026467699696
2020Q3,"BF-corr, 7 col",500,7,8,0.6789745189384054,0.0900755392084842
2020Q4,"Dynamic ET, 18 col",1000,18,9,0.7371130411239021,0.08879872464866682
2020Q4,"BF-varsel, 7 col",500,7,9,0.6397139559816203,0.10310995930457152
2020Q4,"BF-default, 7 col",500,7,9,0.6373055318182956,0.10029704603548863
2020Q4,"BF-corr, 7 col",500,7,9,0.667757158627647,0.09992815781666431
