fold,model,d,M_blocks,r2,mae
2017Q1,Dynamic ET,15,9,0.8523126924932837,0.04816738674566665
2017Q1,ET-enr,15,9,0.850880548981642,0.048045832919666645
2017Q1,BF-varsel,7,9,0.7535537329289872,0.0714420175398408
2017Q1,BF-default,7,9,0.7230643414513681,0.07400703685248525
2017Q1,BF-corr,7,9,0.7550969166754699,0.0695789015757095
2017Q2,Dynamic ET,15,9,0.9251814729104094,0.02628105745333334
2017Q2,ET-enr,15,9,0.9242579291387081,0.026468911322333328
2017Q2,BF-varsel,7,9,0.827914863498358,0.03820185722877914
2017Q2,BF-default,7,9,0.793138863298031,0.04346268472130046
2017Q2,BF-corr,7,9,0.8340618646406983,0.03647543138452447
2017Q3,Dynamic ET,15,9,0.9089311469419379,0.03446365782599999
2017Q3,ET-enr,15,9,0.9088945433917685,0.03463128058933332
2017Q3,BF-varsel,7,9,0.854319292977078,0.039056325855716556
2017Q3,BF-default,7,9,0.803429339240116,0.042436895935197894
2017Q3,BF-corr,7,9,0.8682199437134315,0.034391813261854885
2017Q4,Dynamic ET,15,9,0.9190289027654727,0.03041285420933335
2017Q4,ET-enr,15,9,0.9171023674546369,0.030653774691333353
2017Q4,BF-varsel,7,9,0.834646630177748,0.04190909618233445
2017Q4,BF-default,7,9,0.7872911048936152,0.04819404776160092
2017Q4,BF-corr,7,9,0.8527696898986141,0.04018243653698887
2018Q1,Dynamic ET,15,8,0.9139149238291752,0.03405463965999999
2018Q1,ET-enr,15,8,0.9138475237557697,0.03415175842333334
2018Q1,BF-varsel,7,8,0.8340922655851956,0.04318981527929464
2018Q1,BF-default,7,8,0.7613615556390219,0.050668433511066
2018Q1,BF-corr,7,8,0.8586672092961718,0.040014976921846274
2018Q2,Dynamic ET,15,8,0.937936458758364,0.030282104026666704
2018Q2,ET-enr,15,8,0.9377968255467564,0.02998033720733336
2018Q2,BF-varsel,7,8,0.8769972894852912,0.041649913071753204
2018Q2,BF-default,7,8,0.8472484523531778,0.047520314203173354
2018Q2,BF-corr,7,8,0.8948691255463119,0.04073894246735038
2018Q3,Dynamic ET,15,7,0.939567293416633,0.031316422936666685
2018Q3,ET-enr,15,7,0.9393330346729889,0.0318390032426667
2018Q3,BF-varsel,7,7,0.8513541343355217,0.0474975479688715
2018Q3,BF-default,7,7,0.8213904566842876,0.05001567973465551
2018Q3,BF-corr,7,7,0.8667245760877833,0.04460602181201538
2018Q4,Dynamic ET,15,7,0.8458885186267247,0.062357740882666664
2018Q4,ET-enr,15,7,0.8453846281913036,0.062455592740666664
2018Q4,BF-varsel,7,7,0.7576974489939272,0.06855114700061425
2018Q4,BF-default,7,7,0.6961358234989499,0.07242866858663344
2018Q4,BF-corr,7,7,0.7808001888302605,0.0647448489467464
2019Q1,Dynamic ET,15,7,0.9291436589524662,0.03734791535366668
2019Q1,ET-enr,15,7,0.9258188527085266,0.03952433348266667
2019Q1,BF-varsel,7,7,0.8632392156011824,0.050097685600722405
2019Q1,BF-default,7,7,0.8146146962863111,0.05601411241055889
2019Q1,BF-corr,7,7,0.8687442414358407,0.04709303412242236
2019Q2,Dynamic ET,15,7,0.9206489961931044,0.036251585657333364
2019Q2,ET-enr,15,7,0.9203078902282853,0.036609609963333366
2019Q2,BF-varsel,7,7,0.87528663125573,0.04093301472561414
2019Q2,BF-default,7,7,0.8260978109504022,0.04624846560157067
2019Q2,BF-corr,7,7,0.8767163706274906,0.03871735861587285
2019Q3,Dynamic ET,15,7,0.9276793392935597,0.02997203496833335
2019Q3,ET-enr,15,7,0.925981470541498,0.03059789759766668
2019Q3,BF-varsel,7,7,0.8875788431660687,0.0335438035662573
2019Q3,BF-default,7,7,0.8437746474131831,0.03731530338172927
2019Q3,BF-corr,7,7,0.8895331409499689,0.03387926204046812
2019Q4,Dynamic ET,15,7,0.9141615713095856,0.03320434062566664
2019Q4,ET-enr,15,7,0.9126177639343701,0.03365970973099997
2019Q4,BF-varsel,7,7,0.8568780936008284,0.03965756948971699
2019Q4,BF-default,7,7,0.8151188884143317,0.0456598043548823
2019Q4,BF-corr,7,7,0.8242103989777296,0.04676396373600976
2020Q1,Dynamic ET,15,7,0.6320320598156036,0.09775645245066668
2020Q1,ET-enr,15,7,0.6295584910125774,0.09839996196266666
2020Q1,BF-varsel,7,7,0.4945367769336595,0.11035010150687967
2020Q1,BF-default,7,7,0.44270548752034566,0.11303369247218323
2020Q1,BF-corr,7,7,0.4789115815759648,0.11243889809320244
2020Q2,Dynamic ET,15,7,0.8862312640923662,0.06091069515666667
2020Q2,ET-enr,15,7,0.8839545470260743,0.061295361563333345
2020Q2,BF-varsel,7,7,0.8145150216202572,0.06451700661517439
2020Q2,BF-default,7,7,0.780097590332393,0.06656066705980179
2020Q2,BF-corr,7,7,0.8226665168068787,0.06368171701779465
2020Q3,Dynamic ET,15,7,0.7496315150089418,0.09319133462266672
2020Q3,ET-enr,15,7,0.7415282717941798,0.09413129797600005
2020Q3,BF-varsel,7,7,0.693310407333221,0.09036441411575197
2020Q3,BF-default,7,7,0.637245493111148,0.0962992356134904
2020Q3,BF-corr,7,7,0.6742850332714454,0.09077440006917846
2020Q4,Dynamic ET,15,8,0.7329924764609901,0.0893411636140002
2020Q4,ET-enr,15,8,0.7134850244819475,0.09362991823600023
2020Q4,BF-varsel,7,8,0.637539724726214,0.10302086232663005
2020Q4,BF-default,7,8,0.6336819548809565,0.10078395282022459
2020Q4,BF-corr,7,8,0.6711406108007252,0.09933772986348098
