fold,n_train,features,d,M,model,r2,mae,fit_s
2017Q1,3000,d15,15,8,Dynamic ET,0.846908133660025,0.048303753510666535,0.5642782080103643
2017Q1,3000,d15,15,8,BF-varsel,0.8277424715962347,0.05191349645405543,3.315388625007472
2017Q1,3000,d15,15,8,"BF-varsel, permuted blocks",0.8311263605756838,0.051474916753333155,
2017Q1,10000,d15,15,9,Dynamic ET,0.855415636753291,0.04750186781666662,1.3312373750086408
2017Q1,10000,d15,15,9,BF-varsel,0.8476848754288235,0.049204819438361566,9.564266667002812
2017Q1,10000,d15,15,9,"BF-varsel, permuted blocks",0.8503351647661893,0.049328957241344396,
2017Q1,30000,d15,15,9,Dynamic ET,0.8466120020852235,0.048362121638000015,3.3534297910082387
2017Q1,30000,d15,15,9,BF-varsel,0.8471021031019814,0.049322645413746674,28.457836750007118
2017Q1,30000,d15,15,9,"BF-varsel, permuted blocks",0.850052212921523,0.049010612412299995,
2017Q1,30000,d19,19,10,Dynamic ET,0.8571530919229617,0.04558557848133334,3.6958161660004407
2017Q1,30000,d19,19,10,BF-varsel,0.8534893510352562,0.04721718392133339,61.64775195799302
2017Q1,30000,d19,19,10,"BF-varsel, permuted blocks",0.8565928792447421,0.045714833132666687,
2017Q1,30000,d23,23,10,Dynamic ET,0.8603841807108282,0.04466630602600002,4.0708581670041895
2017Q1,30000,d23,23,10,BF-varsel,0.8524176157799714,0.04763813366000003,64.52065266598947
2017Q1,30000,d23,23,10,"BF-varsel, permuted blocks",0.8476194702264518,0.04810312761733337,
2017Q2,3000,d15,15,9,Dynamic ET,0.9052871127680179,0.031025056294000045,0.6391240000084508
2017Q2,3000,d15,15,9,BF-varsel,0.89883129704084,0.03176141655611121,3.157581334002316
2017Q2,3000,d15,15,9,"BF-varsel, permuted blocks",0.9050597453035494,0.03126600666355564,
2017Q2,10000,d15,15,9,Dynamic ET,0.9261001236484403,0.02735288693733329,1.4999351250007749
2017Q2,10000,d15,15,9,BF-varsel,0.9226540720649878,0.027372799952604714,9.816483750008047
2017Q2,10000,d15,15,9,"BF-varsel, permuted blocks",0.9243740052820384,0.02744927296866187,
2017Q2,30000,d15,15,9,Dynamic ET,0.9336953477086353,0.02637849090033332,3.416453375000856
2017Q2,30000,d15,15,9,BF-varsel,0.9350609552969545,0.026003362135819656,29.0558700410038
2017Q2,30000,d15,15,9,"BF-varsel, permuted blocks",0.936261947683953,0.02602465219027504,
2017Q2,30000,d19,19,11,Dynamic ET,0.9341446117275605,0.02611932661099998,4.476043666989426
2017Q2,30000,d19,19,11,BF-varsel,0.9353206252996358,0.025955942830999976,68.12690620799549
2017Q2,30000,d19,19,11,"BF-varsel, permuted blocks",0.9336745648987276,0.02636931225666665,
2017Q2,30000,d23,23,11,Dynamic ET,0.9335232370632406,0.026195578278333322,4.268343250005273
2017Q2,30000,d23,23,11,BF-varsel,0.9346508392800789,0.02608196309799998,69.16778262500884
2017Q2,30000,d23,23,11,"BF-varsel, permuted blocks",0.9332838227538441,0.026226655635333326,
2017Q3,3000,d15,15,9,Dynamic ET,0.8847189809459466,0.03533566117266681,0.7493183749902528
2017Q3,3000,d15,15,9,BF-varsel,0.8798283496735604,0.03456834101311126,3.2039741670014337
2017Q3,3000,d15,15,9,"BF-varsel, permuted blocks",0.8881539939414999,0.0352019358605557,
2017Q3,10000,d15,15,9,Dynamic ET,0.8927009404192562,0.034795258904666754,1.5215270829939982
2017Q3,10000,d15,15,9,BF-varsel,0.9004062722562082,0.034087491096768806,10.043280209007207
2017Q3,10000,d15,15,9,"BF-varsel, permuted blocks",0.9004319742393478,0.034751025487494536,
2017Q3,30000,d15,15,9,Dynamic ET,0.9160314785580654,0.034052027548,3.5589874159923056
2017Q3,30000,d15,15,9,BF-varsel,0.9175685121642213,0.03338216645244533,29.344162417008192
