fold,model,region,n,r2,mae
2017Q1,Dynamic ET,deep_OTM,4387,0.9718011055407839,0.025444495477547274
2017Q1,Dynamic ET,OTM,3139,0.40970119610362976,0.04255604421631088
2017Q1,Dynamic ET,ATM,1779,-1.0101339975499624,0.07386042831365912
2017Q1,Dynamic ET,ITM,2480,0.3234996487673144,0.04940245684274196
2017Q1,Dynamic ET,deep_ITM,3215,0.8251092485382214,0.0694826070886471
2017Q1,ET-aug,deep_OTM,4387,0.9714652101714496,0.025126615304308167
2017Q1,ET-aug,OTM,3139,0.4281666326393191,0.04142539691780817
2017Q1,ET-aug,ATM,1779,-1.019667828291734,0.07397315502529478
2017Q1,ET-aug,ITM,2480,0.32472457673801847,0.04901055581854843
2017Q1,ET-aug,deep_ITM,3215,0.8213050159306743,0.07069309185381038
2017Q1,BF-varsel,deep_OTM,4387,0.9679119398377766,0.02722923956633598
2017Q1,BF-varsel,OTM,3139,0.34473748146848904,0.04520687821917384
2017Q1,BF-varsel,ATM,1779,-1.047330899803054,0.07462943711542054
2017Q1,BF-varsel,ITM,2480,0.2658979397510932,0.05289972902016135
2017Q1,BF-varsel,deep_ITM,3215,0.8366665797885149,0.06853144094038377
2017Q1,BF-corr,deep_OTM,4387,0.9678770039981678,0.02746633136759222
2017Q1,BF-corr,OTM,3139,0.381015861009254,0.044245979215685315
2017Q1,BF-corr,ATM,1779,-1.0527469434719956,0.07571574398523173
2017Q1,BF-corr,ITM,2480,0.31324671379963875,0.05061146807111568
2017Q1,BF-corr,deep_ITM,3215,0.8335349737981291,0.06954398769452252
2017Q2,Dynamic ET,deep_OTM,4993,0.9877419417698984,0.01490959704586426
2017Q2,Dynamic ET,OTM,2931,0.8231918783601447,0.01782046240020469
2017Q2,Dynamic ET,ATM,1485,-0.20618749824027582,0.025822949313131244
2017Q2,Dynamic ET,ITM,2243,0.7492123292582333,0.024142844732501067
2017Q2,Dynamic ET,deep_ITM,3348,0.8765915857747203,0.0522822544772999
2017Q2,ET-aug,deep_OTM,4993,0.9874250145947365,0.014824772926096548
2017Q2,ET-aug,OTM,2931,0.8209473557855083,0.017949458050153543
2017Q2,ET-aug,ATM,1485,-0.22695471595686922,0.02603399882828273
2017Q2,ET-aug,ITM,2243,0.7410628591124573,0.02440322331252783
2017Q2,ET-aug,deep_ITM,3348,0.8754066956689062,0.052869414253285556
2017Q2,BF-varsel,deep_OTM,4993,0.9861324685840163,0.01492329834725635
2017Q2,BF-varsel,OTM,2931,0.8244432577064024,0.017714922642766005
2017Q2,BF-varsel,ATM,1485,-0.14338573724969428,0.02527200891694721
2017Q2,BF-varsel,ITM,2243,0.759972728140306,0.023948416309258397
2017Q2,BF-varsel,deep_ITM,3348,0.8730975951231231,0.05222293368418955
2017Q2,BF-corr,deep_OTM,4993,0.9855577163786807,0.014980078544969598
2017Q2,BF-corr,OTM,2931,0.8275680344089671,0.0175294488709616
2017Q2,BF-corr,ATM,1485,-0.15959289116386688,0.025401153135626773
2017Q2,BF-corr,ITM,2243,0.7666575761415371,0.023570516588030187
2017Q2,BF-corr,deep_ITM,3348,0.8735106854354096,0.05242613938829904
2017Q3,Dynamic ET,deep_OTM,4893,0.9626110003591001,0.023152432055998352
2017Q3,Dynamic ET,OTM,3063,0.6083021968664837,0.030364358586353318
2017Q3,Dynamic ET,ATM,1312,-0.7238047476208593,0.03695087229420732
2017Q3,Dynamic ET,ITM,2398,0.5988500624731243,0.034835325621351075
2017Q3,Dynamic ET,deep_ITM,3334,0.8851942324435591,0.05358408269346124
2017Q3,ET-aug,deep_OTM,4893,0.9614493922507357,0.023518182742693607
2017Q3,ET-aug,OTM,3063,0.6042869990535982,0.030568134733921073
2017Q3,ET-aug,ATM,1312,-0.6854408416933091,0.03681327446646338
2017Q3,ET-aug,ITM,2398,0.579995815985512,0.035022662648039986
2017Q3,ET-aug,deep_ITM,3334,0.8862742078731346,0.05353364812837425
2017Q3,BF-varsel,deep_OTM,4893,0.9716136301504753,0.022038014411889913
2017Q3,BF-varsel,OTM,3063,0.6250302529115663,0.029599379169168865
2017Q3,BF-varsel,ATM,1312,-0.7358127497890194,0.03677159937296748
2017Q3,BF-varsel,ITM,2398,0.6266844765313124,0.0343546525660272
2017Q3,BF-varsel,deep_ITM,3334,0.8831059837820399,0.05329187371625665
2017Q3,BF-corr,deep_OTM,4893,0.9754095653651876,0.021079055769513844
2017Q3,BF-corr,OTM,3063,0.6416396674327334,0.028873154678965562
2017Q3,BF-corr,ATM,1312,-0.7166388041737295,0.03667863127535868
2017Q3,BF-corr,ITM,2398,0.6347565729649672,0.033866334153272636
2017Q3,BF-corr,deep_ITM,3334,0.8803616247643752,0.053378811017144465
2017Q4,Dynamic ET,deep_OTM,4936,0.9890322137452389,0.013860674542139415
2017Q4,Dynamic ET,OTM,2847,0.6994953500328465,0.02400664626624513
2017Q4,Dynamic ET,ATM,1244,0.058049808181833806,0.03334645683279749
2017Q4,Dynamic ET,ITM,2221,0.7249107098696321,0.02803478036920305
2017Q4,Dynamic ET,deep_ITM,3752,0.8807406700669431,0.05748437158315569
2017Q4,ET-aug,deep_OTM,4936,0.9884748701196053,0.013930142025931957
2017Q4,ET-aug,OTM,2847,0.6937926108027398,0.024210458145416204
2017Q4,ET-aug,ATM,1244,0.03836634827200669,0.03363712000803863
2017Q4,ET-aug,ITM,2221,0.7198802237804243,0.028329659378658226
2017Q4,ET-aug,deep_ITM,3752,0.877930358267191,0.05793057415245208
2017Q4,BF-varsel,deep_OTM,4936,0.9902372083736025,0.013638785943509228
2017Q4,BF-varsel,OTM,2847,0.7131282712726842,0.023779631036624446
2017Q4,BF-varsel,ATM,1244,0.0920064101599467,0.03257323050616293
2017Q4,BF-varsel,ITM,2221,0.7284927210115305,0.027909099048476656
2017Q4,BF-varsel,deep_ITM,3752,0.8784929894029128,0.0576100303193852
2017Q4,BF-corr,deep_OTM,4936,0.9900364782798259,0.013331169904374735
2017Q4,BF-corr,OTM,2847,0.71429664651869,0.023661118503088246
2017Q4,BF-corr,ATM,1244,0.06066562514010421,0.0333124958721586
