ticker,fold,model,region,n,r2,mae
TSLA,2020Q1,Dynamic ET,deep_OTM,5522,0.33787930922390996,0.19793127231256766
TSLA,2020Q1,Dynamic ET,OTM,1791,-0.8726007983851309,0.23853114748185353
TSLA,2020Q1,Dynamic ET,ATM,796,-0.9612778249202245,0.22630421074120638
TSLA,2020Q1,Dynamic ET,ITM,1432,-1.0155348716066204,0.24663812604050314
TSLA,2020Q1,Dynamic ET,deep_ITM,5459,0.385995306317509,0.2223403303224035
TSLA,2020Q1,ET-aug,deep_OTM,5522,0.3100406347402389,0.20316864454726535
TSLA,2020Q1,ET-aug,OTM,1791,-0.909596050629278,0.24024271047459497
TSLA,2020Q1,ET-aug,ATM,796,-0.9841336037638089,0.2267428755150755
TSLA,2020Q1,ET-aug,ITM,1432,-1.0397531264910227,0.2471122646578215
TSLA,2020Q1,ET-aug,deep_ITM,5459,0.3867460212372893,0.22045411288880756
TSLA,2020Q1,BF-varsel,deep_OTM,5522,0.3414954191006545,0.19751811242469475
TSLA,2020Q1,BF-varsel,OTM,1791,-0.8396972211947022,0.23591891603294238
TSLA,2020Q1,BF-varsel,ATM,796,-0.8999525817876657,0.22225906456658334
TSLA,2020Q1,BF-varsel,ITM,1432,-0.9335161811335357,0.24135776989176008
TSLA,2020Q1,BF-varsel,deep_ITM,5459,0.3910428221001935,0.2222989264911158
TSLA,2020Q1,BF-corr,deep_OTM,5522,0.36696582746845674,0.19229357637104755
TSLA,2020Q1,BF-corr,OTM,1791,-0.797829333421175,0.23289559012994523
TSLA,2020Q1,BF-corr,ATM,796,-0.9487762813718417,0.2244000249414805
TSLA,2020Q1,BF-corr,ITM,1432,-0.9632188005756899,0.24240878270441196
TSLA,2020Q1,BF-corr,deep_ITM,5459,0.44691383415917063,0.20693832623990563
TSLA,2020Q2,Dynamic ET,deep_OTM,5166,0.763681194846377,0.08806094457026716
TSLA,2020Q2,Dynamic ET,OTM,1966,-0.036198951947207014,0.09744155553407942
TSLA,2020Q2,Dynamic ET,ATM,1015,-0.0441351873679281,0.10320637403940901
TSLA,2020Q2,Dynamic ET,ITM,1650,-0.2413685970631414,0.10900493010303021
TSLA,2020Q2,Dynamic ET,deep_ITM,5203,0.7079927216447139,0.11261812802037297
TSLA,2020Q2,ET-aug,deep_OTM,5166,0.765583946933034,0.0879736546012389
TSLA,2020Q2,ET-aug,OTM,1966,1.9994899243092057e-05,0.09550968569684645
TSLA,2020Q2,ET-aug,ATM,1015,-0.0031014302260479187,0.1004613892019706
TSLA,2020Q2,ET-aug,ITM,1650,-0.20391359145499877,0.10647242653333332
TSLA,2020Q2,ET-aug,deep_ITM,5203,0.7054664165139043,0.11263141340380559
TSLA,2020Q2,BF-varsel,deep_OTM,5166,0.7641728582498942,0.08802415092463546
TSLA,2020Q2,BF-varsel,OTM,1966,-0.050747590510158425,0.09831610881739579
