fold,model,M_blocks,d,r2,mae
2017Q1,Dynamic ET,9,15,0.8523126924932837,0.04816738674566666
2017Q1,ET-aug,9,15,0.850880548981642,0.04804583291966664
2017Q1,BF-varsel,9,15,0.8531073369174729,0.0492614905651621
2017Q1,BF-default,9,15,0.8560895161640598,0.04965790895736486
2017Q1,BF-corr,9,15,0.8546515584930131,0.049683829413796045
2017Q2,Dynamic ET,9,15,0.9251814729104094,0.02628105745333334
2017Q2,ET-aug,9,15,0.9242579291387082,0.02646891132233333
2017Q2,BF-varsel,9,15,0.923562658666213,0.02610109039680504
2017Q2,BF-default,9,15,0.9161665278482589,0.027728021185902754
2017Q2,BF-corr,9,15,0.9234528784210018,0.026176418198536867
2017Q3,Dynamic ET,9,15,0.9089311469419379,0.03446365782599999
2017Q3,ET-aug,9,15,0.9088945433917685,0.03463128058933331
2017Q3,BF-varsel,9,15,0.9113232389135915,0.03381696135879856
2017Q3,BF-default,9,15,0.9095395671540161,0.03317009128338567
2017Q3,BF-corr,9,15,0.910869401819139,0.03327771798704264
2017Q4,Dynamic ET,9,15,0.9190289027654727,0.030412854209333352
2017Q4,ET-aug,9,15,0.9171023674546369,0.030653774691333353
2017Q4,BF-varsel,9,15,0.9186755830191374,0.030283808742332267
2017Q4,BF-default,9,15,0.910747693343263,0.031533259334237666
2017Q4,BF-corr,9,15,0.9212714916686241,0.030023363541636164
2018Q1,Dynamic ET,8,15,0.9139149238291752,0.03405463965999999
2018Q1,ET-aug,8,15,0.9138475237557697,0.034151758423333345
2018Q1,BF-varsel,8,15,0.9130039866987066,0.03402794339850601
2018Q1,BF-default,8,15,0.900306452198148,0.03579964697735095
2018Q1,BF-corr,8,15,0.9129424740294265,0.03339408082434745
2018Q2,Dynamic ET,8,15,0.937936458758364,0.030282104026666704
2018Q2,ET-aug,8,15,0.9377968255467564,0.02998033720733336
2018Q2,BF-varsel,8,15,0.9389303966917704,0.030276100042998525
2018Q2,BF-default,8,15,0.9338023887644299,0.0321130731866997
2018Q2,BF-corr,8,15,0.938188934119028,0.03039778112861211
2018Q3,Dynamic ET,7,15,0.939567293416633,0.031316422936666685
2018Q3,ET-aug,7,15,0.9393330346729889,0.0318390032426667
2018Q3,BF-varsel,7,15,0.9371794487612416,0.032057830954934696
2018Q3,BF-default,7,15,0.9308672934139801,0.032713021834669
2018Q3,BF-corr,7,15,0.9386486867695447,0.030298615182334565
2018Q4,Dynamic ET,7,15,0.8458885186267247,0.062357740882666664
2018Q4,ET-aug,7,15,0.8453846281913037,0.062455592740666664
2018Q4,BF-varsel,7,15,0.8457265874379871,0.06200048322627435
2018Q4,BF-default,7,15,0.8317681390007642,0.06255102525592965
2018Q4,BF-corr,7,15,0.8435963348733693,0.06143611509538071
2019Q1,Dynamic ET,7,15,0.9291436589524662,0.03734791535366668
2019Q1,ET-aug,7,15,0.9258188527085266,0.03952433348266667
2019Q1,BF-varsel,7,15,0.9308082616677587,0.03644561171174685
2019Q1,BF-default,7,15,0.9264342980728343,0.035533764980430094
2019Q1,BF-corr,7,15,0.9268151775291816,0.037759192014958386
2019Q2,Dynamic ET,7,15,0.9206489961931044,0.036251585657333364
2019Q2,ET-aug,7,15,0.9203078902282853,0.036609609963333366
2019Q2,BF-varsel,7,15,0.919708208013875,0.035857831381397635
2019Q2,BF-default,7,15,0.9143861160144402,0.03577747599294048
2019Q2,BF-corr,7,15,0.9169689150332089,0.035652571342284584
2019Q3,Dynamic ET,7,15,0.9276793392935598,0.02997203496833335
2019Q3,ET-aug,7,15,0.925981470541498,0.03059789759766668
2019Q3,BF-varsel,7,15,0.9279437987042098,0.029512853843800348
2019Q3,BF-default,7,15,0.9264216699841825,0.02911311516946858
2019Q3,BF-corr,7,15,0.9289253521375923,0.02937214836794849
2019Q4,Dynamic ET,7,15,0.9141615713095856,0.03320434062566664
2019Q4,ET-aug,7,15,0.9126177639343701,0.03365970973099997
2019Q4,BF-varsel,7,15,0.9147310040500475,0.03297245421349292
2019Q4,BF-default,7,15,0.9078045449997026,0.034232647903692105
2019Q4,BF-corr,7,15,0.9139845894657832,0.03309621478361144
2020Q1,Dynamic ET,7,15,0.6320320598156037,0.09775645245066668
2020Q1,ET-aug,7,15,0.6295584910125774,0.09839996196266666
2020Q1,BF-varsel,7,15,0.6274955052082088,0.09759904611744814
2020Q1,BF-default,7,15,0.6056484337139503,0.09872229451288186
2020Q1,BF-corr,7,15,0.6322173467022207,0.09728994371463674
2020Q2,Dynamic ET,7,15,0.8862312640923662,0.06091069515666667
2020Q2,ET-aug,7,15,0.8839545470260743,0.061295361563333345
2020Q2,BF-varsel,7,15,0.8876831818023578,0.06013725770953967
2020Q2,BF-default,7,15,0.8781420452753228,0.06037133921695663
2020Q2,BF-corr,7,15,0.8895850590105315,0.059011237111035404
2020Q3,Dynamic ET,7,15,0.7496315150089418,0.09319133462266672
2020Q3,ET-aug,7,15,0.7415282717941798,0.09413129797600005
2020Q3,BF-varsel,7,15,0.7564141425222838,0.09180001954752094
2020Q3,BF-default,7,15,0.7472866917553136,0.09148509342294123
2020Q3,BF-corr,7,15,0.7555231048473705,0.09060418129397751
2020Q4,Dynamic ET,8,15,0.7329924764609901,0.0893411636140002
2020Q4,ET-aug,8,15,0.7134850244819475,0.09362991823600023
2020Q4,BF-varsel,8,15,0.7423185064912365,0.0866785994744853
2020Q4,BF-default,8,15,0.7559813443289316,0.08126839228560757
2020Q4,BF-corr,8,15,0.705337976005866,0.0941375781104679
