fold,regime,arm,d,M,r2,mae,secs
2017Q1,clean15,Dynamic ET,15,9,0.8523126924932837,0.04816738674566665,4.497701832995517
2017Q1,clean15,ET-aug,15,9,0.850880548981642,0.048045832919666645,6.377003250003327
2017Q1,clean18,Dynamic ET,18,8,0.8583010623959797,0.045907515656333345,4.352574040996842
2017Q1,clean18,ET-aug,18,8,0.8521106470510772,0.04730220585233333,7.560135709005408
2017Q2,clean15,Dynamic ET,15,9,0.9251814729104094,0.02628105745333334,4.554691083001671
2017Q2,clean15,ET-aug,15,9,0.9242579291387082,0.02646891132233333,6.1349218749965075
2017Q2,clean18,Dynamic ET,18,8,0.9264171650632013,0.02607078577933336,4.103649041993776
2017Q2,clean18,ET-aug,18,8,0.9261488045462769,0.026178723005666697,7.245484374987427
2017Q3,clean15,Dynamic ET,15,9,0.9089311469419379,0.03446365782599999,4.383595334016718
2017Q3,clean15,ET-aug,15,9,0.9088945433917685,0.03463128058933332,6.415834582992829
2017Q3,clean18,Dynamic ET,18,8,0.9072850913832868,0.034564076093999974,4.3371442499919794
2017Q3,clean18,ET-aug,18,8,0.9075347572396198,0.034881169361333314,7.211306916986359
2017Q4,clean15,Dynamic ET,15,9,0.9190289027654727,0.03041285420933335,4.5337353340000845
2017Q4,clean15,ET-aug,15,9,0.9171023674546369,0.03065377469133335,6.233343750005588
2017Q4,clean18,Dynamic ET,18,8,0.919249245354691,0.029966737092666677,4.412633625004673
2017Q4,clean18,ET-aug,18,8,0.9172168480094098,0.030259115905000005,7.488610582979163
2018Q1,clean15,Dynamic ET,15,8,0.9139149238291752,0.03405463965999999,4.12507283402374
2018Q1,clean15,ET-aug,15,8,0.9138475237557697,0.034151758423333345,6.360405792016536
2018Q1,clean18,Dynamic ET,18,8,0.9151101203106162,0.033524695914,4.241203374986071
2018Q1,clean18,ET-aug,18,8,0.9157283948545069,0.03315971620333334,7.089198999979999
2018Q2,clean15,Dynamic ET,15,8,0.937936458758364,0.030282104026666704,4.221128333010711
2018Q2,clean15,ET-aug,15,8,0.9377968255467564,0.02998033720733336,5.818151916988427
2018Q2,clean18,Dynamic ET,18,8,0.9389129830753994,0.029932022104666712,3.948736624995945
2018Q2,clean18,ET-aug,18,8,0.9389813756008067,0.02944764856533337,6.995228375017177
2018Q3,clean15,Dynamic ET,15,7,0.939567293416633,0.031316422936666685,3.631120625010226
2018Q3,clean15,ET-aug,15,7,0.9393330346729889,0.0318390032426667,6.18349066702649
2018Q3,clean18,Dynamic ET,18,8,0.9396447317195418,0.031207237751333355,5.632266457978403
2018Q3,clean18,ET-aug,18,8,0.9381118506798823,0.032333470444000034,11.42761212500045
2018Q4,clean15,Dynamic ET,15,7,0.8458885186267247,0.062357740882666664,5.94363812499796
2018Q4,clean15,ET-aug,15,7,0.8453846281913037,0.062455592740666664,9.23183400000562
2018Q4,clean18,Dynamic ET,18,8,0.8478005478456625,0.06190522978466668,4.549715750006726
2018Q4,clean18,ET-aug,18,8,0.84657056029938,0.06191942619066667,11.381969458016101
2019Q1,clean15,Dynamic ET,15,7,0.9291436589524662,0.03734791535366668,5.891172416013433
2019Q1,clean15,ET-aug,15,7,0.9258188527085266,0.03952433348266667,9.608053959003882
2019Q1,clean18,Dynamic ET,18,8,0.9300064307824952,0.03678545757366667,4.596528750000289
2019Q1,clean18,ET-aug,18,8,0.9259245218962902,0.03950777891100001,10.28605416699429
2019Q2,clean15,Dynamic ET,15,7,0.9206489961931044,0.036251585657333364,6.066520583990496
2019Q2,clean15,ET-aug,15,7,0.9203078902282853,0.03660960996333335,9.883165834005922
2019Q2,clean18,Dynamic ET,18,9,0.9206073921607912,0.03628384053800002,5.288380749989301
2019Q2,clean18,ET-aug,18,9,0.9202541376278719,0.03642210133600001,9.566540125000756
2019Q3,clean15,Dynamic ET,15,7,0.9276793392935597,0.02997203496833335,5.957087041984778
2019Q3,clean15,ET-aug,15,7,0.9259814705414979,0.03059789759766668,9.477138624992222
2019Q3,clean18,Dynamic ET,18,8,0.9272244278891911,0.029904024102666675,6.499754541990114
2019Q3,clean18,ET-aug,18,8,0.9259622744820598,0.030319289901666664,8.182429000007687
2019Q4,clean15,Dynamic ET,15,7,0.9141615713095856,0.03320434062566664,5.168547792010941
2019Q4,clean15,ET-aug,15,7,0.9126177639343701,0.03365970973099997,9.79290779097937
2019Q4,clean18,Dynamic ET,18,8,0.9172672493882793,0.03216601764533329,6.684076208999613
2019Q4,clean18,ET-aug,18,8,0.91549535728025,0.03252450231266664,9.970659792015795
2020Q1,clean15,Dynamic ET,15,7,0.6320320598156036,0.09775645245066668,4.103982750006253
2020Q1,clean15,ET-aug,15,7,0.6295584910125774,0.09839996196266666,9.707002665993059
2020Q1,clean18,Dynamic ET,18,8,0.6291507542683347,0.09804160170166668,6.419042374996934
2020Q1,clean18,ET-aug,18,8,0.6296921864672621,0.09814004499300003,11.494145083997864
2020Q2,clean15,Dynamic ET,15,7,0.8862312640923662,0.06091069515666667,4.37807774997782
2020Q2,clean15,ET-aug,15,7,0.8839545470260743,0.061295361563333345,8.535689916985575
2020Q2,clean18,Dynamic ET,18,8,0.8851884047328245,0.061228258043999985,6.643347250006627
2020Q2,clean18,ET-aug,18,8,0.8858111064958529,0.060940429971999985,11.811069334013155
2020Q3,clean15,Dynamic ET,15,7,0.7496315150089418,0.09319133462266672,5.895685750001576
2020Q3,clean15,ET-aug,15,7,0.7415282717941798,0.09413129797600005,7.0287713749858085
2020Q3,clean18,Dynamic ET,18,8,0.7585851164412891,0.09179367255733338,6.42900124998414
2020Q3,clean18,ET-aug,18,8,0.7519027675625662,0.09192479199666671,12.163094540999737
2020Q4,clean15,Dynamic ET,15,8,0.7329924764609901,0.0893411636140002,6.440224416001001
2020Q4,clean15,ET-aug,15,8,0.7134850244819475,0.09362991823600021,8.170459499990102
2020Q4,clean18,Dynamic ET,18,9,0.7371130411239021,0.08879872464866682,4.625785292009823
2020Q4,clean18,ET-aug,18,9,0.709872035576265,0.09453536170533355,8.042974874988431
