fold,regime,d,M,r2
2017Q1,clean18,18,8,0.8583010623959797
2017Q1,clean20,20,10,0.8567266889946099
2017Q2,clean18,18,8,0.9264171650632013
2017Q2,clean20,20,10,0.926862210503569
2017Q3,clean18,18,8,0.9072850913832868
2017Q3,clean20,20,10,0.9080984738968242
2017Q4,clean18,18,8,0.919249245354691
2017Q4,clean20,20,10,0.91951511950133
2018Q1,clean18,18,8,0.9151101203106162
2018Q1,clean20,20,9,0.9137775823472591
2018Q2,clean18,18,8,0.9389129830753994
2018Q2,clean20,20,9,0.9385542819700485
2018Q3,clean18,18,8,0.9396447317195418
2018Q3,clean20,20,8,0.9404283724787131
2018Q4,clean18,18,8,0.8478005478456625
2018Q4,clean20,20,8,0.8474638853725645
2019Q1,clean18,18,8,0.9300064307824952
2019Q1,clean20,20,8,0.9310655437366836
2019Q2,clean18,18,9,0.9206073921607912
2019Q2,clean20,20,9,0.9209668591738313
2019Q3,clean18,18,8,0.9272244278891911
2019Q3,clean20,20,8,0.9278356972541487
2019Q4,clean18,18,8,0.9172672493882793
2019Q4,clean20,20,8,0.9170574353914825
2020Q1,clean18,18,8,0.6291507542683347
2020Q1,clean20,20,8,0.629040010537063
2020Q2,clean18,18,8,0.8851884047328245
2020Q2,clean20,20,8,0.8843653338675403
2020Q3,clean18,18,8,0.7585851164412891
2020Q3,clean20,20,8,0.7598202707225528
2020Q4,clean18,18,9,0.7371130411239021
2020Q4,clean20,20,9,0.7422579201240258
