fold,region,arm,n,M_blocks,r2,mae
2017Q1,deep_OTM,base-7,3112,9,0.9460850201124342,0.02675084528706083
2017Q1,deep_OTM,aug@1.00,3112,9,0.9492366549399608,0.026390793766066827
2017Q1,deep_OTM,DynET,3112,9,0.9479214131336369,0.027383166388174802
2017Q1,OTM,base-7,1910,9,-0.5059738165452774,0.06529525258289705
2017Q1,OTM,aug@1.00,1910,9,0.18392728368104205,0.04510084520069807
2017Q1,OTM,DynET,1910,9,0.17784803229703927,0.04556019291448517
2017Q1,ATM,base-7,1143,9,-2.9284131737014176,0.10773089769612132
2017Q1,ATM,aug@1.00,1143,9,-1.2078240618786218,0.07548106719160101
2017Q1,ATM,DynET,1143,9,-1.0077173516634095,0.07030647290755324
2017Q1,ITM,base-7,1796,9,-0.1173943602193055,0.07318742876763182
2017Q1,ITM,aug@1.00,1796,9,0.286979658802585,0.05116226985894581
2017Q1,ITM,DynET,1796,9,0.29036091954348076,0.05152728994060876
2017Q1,deep_ITM,base-7,2039,9,0.846030211681611,0.06513306493379105
2017Q1,deep_ITM,aug@1.00,2039,9,0.841933838577563,0.0656976209906817
2017Q1,deep_ITM,DynET,2039,9,0.843957503822528,0.06561101520353112
2017Q2,deep_OTM,base-7,3459,9,0.9768896162354886,0.016078484475281898
2017Q2,deep_OTM,aug@1.00,3459,9,0.9797705130529758,0.015501121807844284
2017Q2,deep_OTM,DynET,3459,9,0.9805610803637882,0.015512123503902872
2017Q2,OTM,base-7,1772,9,0.761787535339951,0.018548079533483825
2017Q2,OTM,aug@1.00,1772,9,0.7769520145452543,0.01826014183596689
2017Q2,OTM,DynET,1772,9,0.779124570928579,0.01796662481188863
2017Q2,ATM,base-7,982,9,-0.20923065800790352,0.026073454378818733
2017Q2,ATM,aug@1.00,982,9,-0.2854704620983859,0.027192506313645615
2017Q2,ATM,DynET,982,9,-0.25079710880068284,0.026877216564833675
2017Q2,ITM,base-7,1572,9,0.7685384445045633,0.026095005279898213
2017Q2,ITM,aug@1.00,1572,9,0.7894241945184448,0.024362694974554712
2017Q2,ITM,DynET,1572,9,0.8110580047551845,0.023878055916030535
2017Q2,deep_ITM,base-7,2215,9,0.8813197161701544,0.055383402859292705
