fold,arm,d,max_features,M_blocks,r2,mae
2017Q1,base-7,7,1.0,9,0.8105795729279548,0.059534992050000006
2017Q1,DynET,15,0.6,9,0.8583312853539927,0.04789205535333333
2017Q1,aug@0.10,15,0.1,9,0.808371108161517,0.05896891652333334
2017Q1,aug@0.20,15,0.2,9,0.8574282636913781,0.049440867836666666
2017Q1,aug@0.30,15,0.3,9,0.8564462362782368,0.04952034782333333
2017Q1,aug@0.40,15,0.4,9,0.8576778946249926,0.04816022161333333
2017Q1,aug@0.50,15,0.5,9,0.8536327757638855,0.049270618363333324
2017Q1,aug@0.60,15,0.6,9,0.8583312853539927,0.04789205535333333
2017Q1,aug@0.70,15,0.7,9,0.8559293641952699,0.048261174713333334
2017Q1,aug@0.80,15,0.8,9,0.8565248602770021,0.04775197945333333
2017Q1,aug@0.90,15,0.9,9,0.8607282856101167,0.047067191973333325
2017Q1,aug@1.00,15,1.0,9,0.8557082981891974,0.048039051019999994
2017Q2,base-7,7,1.0,9,0.9241500318957184,0.027778239256666677
2017Q2,DynET,15,0.6,9,0.9211782026780619,0.027716231653333336
2017Q2,aug@0.10,15,0.1,9,0.8645680798280194,0.03511103821333334
2017Q2,aug@0.20,15,0.2,9,0.9256848652752901,0.027695132543333334
2017Q2,aug@0.30,15,0.3,9,0.9268256316374912,0.027429598809999997
2017Q2,aug@0.40,15,0.4,9,0.925483758746363,0.027364115630000005
2017Q2,aug@0.50,15,0.5,9,0.9261140318321349,0.02752724571
2017Q2,aug@0.60,15,0.6,9,0.9211782026780619,0.027716231653333336
2017Q2,aug@0.70,15,0.7,9,0.9216356034777496,0.027716771703333337
2017Q2,aug@0.80,15,0.8,9,0.9235234146656786,0.02765867297
2017Q2,aug@0.90,15,0.9,9,0.9214205427219342,0.027821852740000003
2017Q2,aug@1.00,15,1.0,9,0.9224234375157864,0.027807592010000003
2017Q3,base-7,7,1.0,9,0.9111322755806273,0.03514097819999999
2017Q3,DynET,15,0.6,9,0.9123297842047547,0.03477430453999999
2017Q3,aug@0.10,15,0.1,9,0.8853422498536849,0.036195791606666666
2017Q3,aug@0.20,15,0.2,9,0.9179986555289397,0.033510390286666664
2017Q3,aug@0.30,15,0.3,9,0.9187852786276078,0.03358475211333332
2017Q3,aug@0.40,15,0.4,9,0.9152617739328376,0.03420521567333332
2017Q3,aug@0.50,15,0.5,9,0.9143801419039057,0.03439243014666666
2017Q3,aug@0.60,15,0.6,9,0.9123297842047547,0.03477430453999998
2017Q3,aug@0.70,15,0.7,9,0.9114094517031429,0.03488602801333331
2017Q3,aug@0.80,15,0.8,9,0.9095796006590129,0.03499822012666665
2017Q3,aug@0.90,15,0.9,9,0.9099683444044528,0.03508759973333332
2017Q3,aug@1.00,15,1.0,9,0.9079912425728641,0.03532286297333333
2017Q4,base-7,7,1.0,9,0.9158778167713995,0.030803971636666667
2017Q4,DynET,15,0.6,9,0.9256617035084009,0.02971470965666666
2017Q4,aug@0.10,15,0.1,9,0.8824375758704284,0.03634373897666667
2017Q4,aug@0.20,15,0.2,9,0.921915887082295,0.03027575500333333
2017Q4,aug@0.30,15,0.3,9,0.9246759901980752,0.030073565529999995
2017Q4,aug@0.40,15,0.4,9,0.9252855804687589,0.029593571586666666
2017Q4,aug@0.50,15,0.5,9,0.9265930273637402,0.029523132176666668
2017Q4,aug@0.60,15,0.6,9,0.9256617035084009,0.02971470965666666
2017Q4,aug@0.70,15,0.7,9,0.9259608255368469,0.029728560583333338
