n,model,fit_s,pred_s,r2
2000,Dynamic ET,0.1279393330332823,0.04444812500150874,0.8821781635892305
2000,ET,0.0947430839878507,0.04640087496954948,0.848801638674404
2000,ET-aug,0.12757145799696445,0.04228729201713577,0.8850260262636126
2000,RF,0.1333574170130305,0.03158512501977384,0.8568169627356992
2000,GBR,0.4171879580244422,0.02555833401856944,0.8884754521777176
2000,iTransformer,6.441976583038922,0.09630091697908938,0.8806619406890526
2000,FT-Transformer,6.659714457986411,0.08711341698653996,0.8699804323825278
2000,DynET-mer,3.4453876249608584,0.17889925005147234,0.8900887789855079
2000,SVI,2.440876708016731,0.024254290969111025,0.6377816313572304
5000,Dynamic ET,0.1694131669937633,0.04580270795850083,0.8964564557022209
5000,ET,0.1581729170284234,0.04495291697094217,0.8796359923094801
5000,ET-aug,0.2513195829815231,0.04619512497447431,0.8978248484798207
5000,RF,0.2786957500502467,0.04342962498776615,0.877510278891145
5000,GBR,1.0513002499938011,0.02519208303419873,0.8947412879281013
5000,iTransformer,11.779032125021331,0.04602583299856633,0.9070077802694172
5000,FT-Transformer,16.245393124991097,0.042398667021188885,0.8943300842759497
5000,DynET-mer,8.502229333971627,0.15530162502545863,0.9010488200140241
5000,SVI,2.1761533330427483,0.023470583953894675,0.7610632109155736
10000,Dynamic ET,0.9513561669737101,0.15009050001390278,0.9078696408387157
10000,ET,0.9155724589945748,0.13786391698522493,0.9076783464130327
10000,ET-aug,1.5163435830036178,0.15454591601155698,0.9102879221151635
10000,RF,0.48778591700829566,0.07958491699537262,0.892086991065368
10000,GBR,2.2281242919852957,0.0254813339561224,0.9118678373821157
10000,iTransformer,23.678675334027503,0.04835666698636487,0.9002833303724066
10000,FT-Transformer,32.434329834009986,0.042643291992135346,0.9047143349459635
10000,DynET-mer,16.778848499991,0.1779148749774322,0.9125264350365784
10000,SVI,3.03913912497228,0.024848458007909358,0.7863071816911742
20000,Dynamic ET,1.822902791958768,0.17158866702811792,0.9099243001474226
20000,ET,1.6178130829939619,0.1684890830074437,0.9024731756992007
20000,ET-aug,3.0123127920087427,0.15864558302564546,0.9097119209306014
20000,RF,0.9081837499979883,0.045625291008036584,0.908065780424254
20000,GBR,4.38716508395737,0.02517625002656132,0.913511404978711
20000,iTransformer,47.368440332997125,0.0534540829830803,0.9059476344262641
20000,FT-Transformer,65.10059104202082,0.0438184579834342,0.9104246995304446
20000,DynET-mer,33.503757249971386,0.22977645799983293,0.9064113950499655
20000,SVI,2.9927417500293814,0.023298541957046837,0.7442649555070209
40000,Dynamic ET,1277.3868819999625,0.2246362500009127,0.9091507158092004
