fold,d,M,u,m,arm,r2
2017Q1,15,9,0.25,2,grid,0.847667405234856
2017Q1,15,9,0.5,4,grid,0.8534861354314724
2017Q1,15,9,0.75,7,grid,0.8526089670584511
2017Q1,15,9,1.0,9,grid,0.8523126924932837
2017Q1,15,9,1.25,11,grid,0.8511148809251291
2017Q1,15,9,1.5,14,grid,0.8510956137155934
2017Q1,15,9,2.0,15,grid,0.850880548981642
2017Q1,15,9,1.0,9,Dynamic ET,0.8523126924932837
2017Q1,15,9,1.6666666666666667,15,ET-aug,0.850880548981642
2017Q1,20,9,0.25,2,grid,0.8508326041011263
2017Q1,20,9,0.5,4,grid,0.8601440076401147
2017Q1,20,9,0.75,7,grid,0.8592388584727126
2017Q1,20,9,1.0,9,grid,0.858311795459504
2017Q1,20,9,1.25,11,grid,0.8568763019554111
2017Q1,20,9,1.5,14,grid,0.8564858044367527
2017Q1,20,9,2.0,18,grid,0.8558776569410302
2017Q1,20,9,1.0,9,Dynamic ET,0.858311795459504
2017Q1,20,9,2.2222222222222223,20,ET-aug,0.8561318051433918
2017Q1,25,9,0.25,2,grid,0.8495299116488956
2017Q1,25,9,0.5,4,grid,0.8593893469978358
2017Q1,25,9,0.75,7,grid,0.8583290444162021
2017Q1,25,9,1.0,9,grid,0.8584613553325772
2017Q1,25,9,1.25,11,grid,0.8581890748708072
2017Q1,25,9,1.5,14,grid,0.8569065123607117
2017Q1,25,9,2.0,18,grid,0.8559259028074909
2017Q1,25,9,1.0,9,Dynamic ET,0.8584613553325772
2017Q1,25,9,2.7777777777777777,25,ET-aug,0.8538330478679228
2017Q1,30,9,0.25,2,grid,0.8238622119417007
2017Q1,30,9,0.5,4,grid,0.8519588315245956
2017Q1,30,9,0.75,7,grid,0.860064538942311
2017Q1,30,9,1.0,9,grid,0.8601948787964105
2017Q1,30,9,1.25,11,grid,0.8597102527759423
2017Q1,30,9,1.5,14,grid,0.8599485712904564
2017Q1,30,9,2.0,18,grid,0.8584666407021878
2017Q1,30,9,1.0,9,Dynamic ET,0.8601948787964105
2017Q1,30,9,3.3333333333333335,30,ET-aug,0.8562445349055622
2017Q1,40,9,0.25,2,grid,0.8292133571824815
2017Q1,40,9,0.5,4,grid,0.8489366700378312
2017Q1,40,9,0.75,7,grid,0.857570142280441
2017Q1,40,9,1.0,9,grid,0.8585742969361735
2017Q1,40,9,1.25,11,grid,0.8605907335296813
2017Q1,40,9,1.5,14,grid,0.8598471717209057
2017Q1,40,9,2.0,18,grid,0.8601344743299856
2017Q1,40,9,1.0,9,Dynamic ET,0.8585742969361735
2017Q1,40,9,4.444444444444445,40,ET-aug,0.8580334667464558
2017Q2,15,9,0.25,2,grid,0.9099980064174715
2017Q2,15,9,0.5,4,grid,0.9257853601729091
2017Q2,15,9,0.75,7,grid,0.9257268694208034
2017Q2,15,9,1.0,9,grid,0.9251814729104094
2017Q2,15,9,1.25,11,grid,0.9249150205662592
2017Q2,15,9,1.5,14,grid,0.9242925632285983
2017Q2,15,9,2.0,15,grid,0.9242579291387081
2017Q2,15,9,1.0,9,Dynamic ET,0.9251814729104094
2017Q2,15,9,1.6666666666666667,15,ET-aug,0.9242579291387081
2017Q2,20,9,0.25,2,grid,0.90467991388016
2017Q2,20,9,0.5,4,grid,0.9244086546863869
2017Q2,20,9,0.75,7,grid,0.9276880515950758
2017Q2,20,9,1.0,9,grid,0.9267657834382117
2017Q2,20,9,1.25,11,grid,0.9266384854087987
2017Q2,20,9,1.5,14,grid,0.9261436292033991
2017Q2,20,9,2.0,18,grid,0.9257650836578314
2017Q2,20,9,1.0,9,Dynamic ET,0.9267657834382117
2017Q2,20,9,2.2222222222222223,20,ET-aug,0.925512201426352
2017Q2,25,9,0.25,2,grid,0.8985569414561706
2017Q2,25,9,0.5,4,grid,0.9224146640856574
2017Q2,25,9,0.75,7,grid,0.9259536590496034
2017Q2,25,9,1.0,9,grid,0.9264909784976243
2017Q2,25,9,1.25,11,grid,0.926216534981211
2017Q2,25,9,1.5,14,grid,0.9263203844785807
2017Q2,25,9,2.0,18,grid,0.9257802047400158
