fold,model,r2,mae,fit_s,M,d
2017Q1,Dynamic ET,0.8523126924932837,0.04816738674566665,5.9158231250003155,9,15
2017Q1,DynET-mer (pooled),0.8523287012552468,0.047168874314666674,91.66715999999997,11,23
2017Q1,DynET-mer2 (inverted),0.8507809430513771,0.045896139195666666,61.33374641699993,12,22
2017Q1,DynET-mer2 (feature tokenizer),0.8564052321805578,0.04789939313366667,60.36591062499974,10,22
2017Q2,Dynamic ET,0.9251814729104094,0.02628105745333334,3.704241416999139,9,15
2017Q2,DynET-mer (pooled),0.9074016283861276,0.02721325083900004,61.83406958299929,11,23
2017Q2,DynET-mer2 (inverted),0.9079715829425316,0.02713586444900002,60.351413958000194,10,22
2017Q2,DynET-mer2 (feature tokenizer),0.9005139315122456,0.02890464917833341,59.683456542000386,10,22
2017Q3,Dynamic ET,0.9089311469419379,0.03446365782599999,3.0733521250003832,9,15
2017Q3,DynET-mer (pooled),0.8968420953993059,0.03530300429733334,60.64778354200007,11,23
2017Q3,DynET-mer2 (inverted),0.8923310741869446,0.035012824780000014,60.53338254099981,10,22
2017Q3,DynET-mer2 (feature tokenizer),0.8993143277069815,0.034780481618666675,59.41429537499971,10,22
2017Q4,Dynamic ET,0.9190289027654727,0.03041285420933335,3.132269792000443,9,15
2017Q4,DynET-mer (pooled),0.9125129141396336,0.03020657156600001,60.81544570799997,9,23
2017Q4,DynET-mer2 (inverted),0.9129047138957597,0.030258209306666676,58.87698850000015,12,22
2017Q4,DynET-mer2 (feature tokenizer),0.9134988922789855,0.031556438356000006,75.53510829100014,10,22
2018Q1,Dynamic ET,0.9139149238291752,0.03405463965999999,4.361700250000467,8,15
2018Q1,DynET-mer (pooled),0.907358841596456,0.034332663972,73.78518608400009,9,23
2018Q1,DynET-mer2 (inverted),0.9097893984191034,0.034273979323333356,60.712434042000496,9,22
2018Q1,DynET-mer2 (feature tokenizer),0.9098644841367655,0.03427275687533335,59.55885795800077,9,22
2018Q2,Dynamic ET,0.937936458758364,0.030282104026666708,2.8903709589994833,8,15
2018Q2,DynET-mer (pooled),0.9346846646104375,0.03011814030800002,61.456792457999654,11,23
2018Q2,DynET-mer2 (inverted),0.9350166572597501,0.030100326132666708,60.87836691699977,9,22
2018Q2,DynET-mer2 (feature tokenizer),0.9402330386100677,0.02998402641600005,59.9059455000006,9,22
2018Q3,Dynamic ET,0.939567293416633,0.031316422936666685,2.7832237920001717,7,15
2018Q3,DynET-mer (pooled),0.9099508645587469,0.04184711262399995,60.763589041999694,11,23
2018Q3,DynET-mer2 (inverted),0.9185704208059349,0.03773880361999998,59.88631504099976,9,22
2018Q3,DynET-mer2 (feature tokenizer),0.9053318498815763,0.045035236574666654,59.03469091700026,8,22
2018Q4,Dynamic ET,0.8458885186267247,0.062357740882666664,2.645168791999822,7,15
2018Q4,DynET-mer (pooled),0.8358396055455954,0.06289139112866668,60.19294345900016,8,23
2018Q4,DynET-mer2 (inverted),0.837422452928592,0.06258478711933334,60.90348154200001,11,22
2018Q4,DynET-mer2 (feature tokenizer),0.8330720051991086,0.06368629197733335,64.03593858400018,8,22
2019Q1,Dynamic ET,0.9291436589524662,0.037347915353666675,4.350610833999781,7,15
2019Q1,DynET-mer (pooled),0.9224178914638782,0.03970859355266666,83.92487533299936,9,23
2019Q1,DynET-mer2 (inverted),0.9230655823794528,0.04091052329666666,60.97875854100039,9,22
2019Q1,DynET-mer2 (feature tokenizer),0.9173312586256381,0.04211154672599999,60.19525608300046,8,22
2019Q2,Dynamic ET,0.9206489961931044,0.036251585657333364,2.917231041999912,7,15
2019Q2,DynET-mer (pooled),0.9228753200344069,0.03563862131800006,60.812128540999765,9,23
2019Q2,DynET-mer2 (inverted),0.9254065607422569,0.03573324470666671,60.086145708000004,10,22
2019Q2,DynET-mer2 (feature tokenizer),0.9207482076170177,0.0367096752106667,58.85324466700058,8,22
2019Q3,Dynamic ET,0.9276793392935597,0.02997203496833335,2.6935619579999184,7,15
2019Q3,DynET-mer (pooled),0.9265156436886235,0.029898077226666674,60.109985125000094,8,23
2019Q3,DynET-mer2 (inverted),0.926667675078022,0.029778868889666684,60.812627666999106,10,22
2019Q3,DynET-mer2 (feature tokenizer),0.9229793461514865,0.030266376291333344,59.17805758399936,8,22
2019Q4,Dynamic ET,0.9141615713095856,0.03320434062566664,2.6704329169997436,7,15
2019Q4,DynET-mer (pooled),0.9004351579598194,0.037796016388000044,61.07938800000011,10,23
2019Q4,DynET-mer2 (inverted),0.9059507471081367,0.03610711543866669,61.39292929200019,12,22
2019Q4,DynET-mer2 (feature tokenizer),0.9004175047021626,0.037514682656666694,63.66542174999995,8,22
2020Q1,Dynamic ET,0.6320320598156037,0.09775645245066668,4.307707250000021,7,15
2020Q1,DynET-mer (pooled),0.6262102059924428,0.10106801114000004,84.98954816700007,8,23
2020Q1,DynET-mer2 (inverted),0.6210269161035106,0.10170606244500004,78.46351374999904,9,22
2020Q1,DynET-mer2 (feature tokenizer),0.592242365570862,0.10543480562366672,73.03946616699977,8,22
2020Q2,Dynamic ET,0.8862312640923662,0.06091069515666667,3.005888583000342,7,15
2020Q2,DynET-mer (pooled),0.8829800813480042,0.061183971615333295,76.14896349999981,7,23
2020Q2,DynET-mer2 (inverted),0.8873219104365497,0.06116011029333332,71.62450004200036,10,22
2020Q2,DynET-mer2 (feature tokenizer),0.8860988459703274,0.0610167673293333,74.48791604100006,8,22
2020Q3,Dynamic ET,0.7496315150089418,0.09319133462266672,2.852583166999466,7,15
2020Q3,DynET-mer (pooled),0.7288515121372332,0.09223841549533339,76.8134897079999,10,23
2020Q3,DynET-mer2 (inverted),0.7545085916951191,0.08865998871733334,67.18882320799821,8,22
2020Q3,DynET-mer2 (feature tokenizer),0.6879604286681607,0.09773433783933337,74.38925700000073,8,22
2020Q4,Dynamic ET,0.7329924764609901,0.0893411636140002,3.691599583000425,8,15
2020Q4,DynET-mer (pooled),0.7415998542794948,0.08983172200866676,70.14047641700017,13,23
2020Q4,DynET-mer2 (inverted),0.7488785472909667,0.0870034992760001,74.0351058340002,10,22
2020Q4,DynET-mer2 (feature tokenizer),0.7593119551345633,0.08511854231333342,77.44714374999967,9,22
