fold,model,eff_rank,d,M,r2,mae,secs
2017Q1,Dynamic ET,6.4956686639734,15,9,0.8523126924932837,0.04816738674566666,3.679054417007137
2017Q1,DynET-mer (PCA),10.8625544072391,23,17,0.8520835040624041,0.04718007152433334,53.494601666985545
2017Q1,DynET-mer (raw),7.189260023475373,23,11,0.8523287012552468,0.047168874314666674,52.309876875020564
2017Q2,Dynamic ET,6.496958371860717,15,9,0.9251814729104094,0.02628105745333334,3.3146999580203556
2017Q2,DynET-mer (PCA),10.438710321898563,23,17,0.899577602749495,0.027434678159666707,56.398689041961916
2017Q2,DynET-mer (raw),7.791738301968109,23,11,0.9074016283861276,0.02721325083900004,51.56281866697827
2017Q3,Dynamic ET,6.47805312294463,15,9,0.9089311469419379,0.03446365782599999,3.0553972920170054
2017Q3,DynET-mer (PCA),10.469837444476243,23,16,0.8931038985385702,0.03540919019133334,51.841985084000044
2017Q3,DynET-mer (raw),7.027282491020188,23,11,0.8968420953993059,0.03530300429733334,50.642073832976166
2017Q4,Dynamic ET,6.389882089606796,15,9,0.9190289027654727,0.03041285420933335,3.0775488750077784
2017Q4,DynET-mer (PCA),10.429390498645656,23,17,0.9097984104709882,0.030560910052333353,52.328839499969035
2017Q4,DynET-mer (raw),7.02189615665582,23,9,0.9125129141396336,0.03020657156600001,49.752832957950886
2018Q1,Dynamic ET,6.267335217324368,15,8,0.9139149238291752,0.03405463965999999,2.85619741701521
2018Q1,DynET-mer (PCA),10.199697869678676,23,16,0.9097578395320246,0.03406739598000001,52.257847082975786
2018Q1,DynET-mer (raw),6.920484236021457,23,9,0.907358841596456,0.034332663972,49.937347124970984
2018Q2,Dynamic ET,6.223322960401667,15,8,0.937936458758364,0.030282104026666704,2.8220834160456434
2018Q2,DynET-mer (PCA),9.957703032040303,23,16,0.9364575073511717,0.030056558016666686,52.45715345896315
2018Q2,DynET-mer (raw),7.144729830903251,23,11,0.9346846646104375,0.030118140308000023,52.98149816697696
2018Q3,Dynamic ET,6.13122075411568,15,7,0.939567293416633,0.031316422936666685,2.645844249986112
2018Q3,DynET-mer (PCA),10.160646029976727,23,15,0.9146247094492581,0.03887290079466664,53.64988741604611
2018Q3,DynET-mer (raw),7.379729794022871,23,11,0.9099508645587469,0.04184711262399995,51.77781670802506
2018Q4,Dynamic ET,6.073422363856108,15,7,0.8458885186267247,0.062357740882666664,2.7448230409645475
2018Q4,DynET-mer (PCA),9.734912893370128,23,15,0.8340320896847225,0.06311312202066667,51.17665691697039
2018Q4,DynET-mer (raw),6.782727793503718,23,8,0.8358396055455954,0.06289139112866668,49.333783165959176
2019Q1,Dynamic ET,6.060257011028541,15,7,0.9291436589524662,0.037347915353666675,2.6540896670194343
2019Q1,DynET-mer (PCA),9.667194063126232,23,14,0.9192161222422354,0.04147972699666668,51.4024127079756
2019Q1,DynET-mer (raw),6.848940363619872,23,9,0.9224178914638782,0.03970859355266666,51.51761083403835
2019Q2,Dynamic ET,6.014795122376522,15,7,0.9206489961931044,0.036251585657333364,2.7418359169969335
2019Q2,DynET-mer (PCA),9.852922373390705,23,15,0.9244534660958036,0.035941284586000044,51.856345333042555
2019Q2,DynET-mer (raw),7.165333231079313,23,9,0.9228753200344069,0.03563862131800006,50.57351783395279
2019Q3,Dynamic ET,5.989775100565102,15,7,0.9276793392935597,0.02997203496833335,2.647920958988834
2019Q3,DynET-mer (PCA),9.664423229693455,23,15,0.9244543538943618,0.030377218546000007,54.893302999960724
2019Q3,DynET-mer (raw),6.708389490126156,23,8,0.9265156436886234,0.029898077226666674,51.49674445798155
2019Q4,Dynamic ET,5.921452131925982,15,7,0.9141615713095856,0.03320434062566664,2.686567249998916
2019Q4,DynET-mer (PCA),9.730514425204527,23,13,0.90323499850276,0.03681051602233336,54.293731249985285
2019Q4,DynET-mer (raw),7.2272729806192055,23,10,0.9004351579598194,0.037796016388000044,56.69952475000173
2020Q1,Dynamic ET,5.782459506404506,15,7,0.6320320598156037,0.09775645245066668,2.8690979999955744
2020Q1,DynET-mer (PCA),9.525740724220169,23,14,0.6246313060225521,0.10089727817000006,60.663273165991995
2020Q1,DynET-mer (raw),6.689927675312439,23,8,0.6262102059924428,0.10106801114000004,58.30418329202803
2020Q2,Dynamic ET,5.783625943077258,15,7,0.8862312640923662,0.06091069515666667,2.9551918340148404
2020Q2,DynET-mer (PCA),9.71409925698364,23,14,0.882254300476617,0.06197735076533332,61.502009374962654
2020Q2,DynET-mer (raw),6.537149596958492,23,7,0.8829800813480042,0.061183971615333295,54.662642500014044
2020Q3,Dynamic ET,5.739049939599806,15,7,0.7496315150089418,0.09319133462266672,2.752401584002655
2020Q3,DynET-mer (PCA),9.564835386139842,23,15,0.7338555160206717,0.09278787725600002,50.99641787499422
2020Q3,DynET-mer (raw),6.845348573395667,23,10,0.7288515121372332,0.09223841549533339,49.84736883296864
2020Q4,Dynamic ET,5.995906916817504,15,8,0.7329924764609901,0.0893411636140002,2.9036750000086613
2020Q4,DynET-mer (PCA),9.82985828491107,23,16,0.7281842098583409,0.09178121330133347,51.1099904999719
2020Q4,DynET-mer (raw),8.035794958275767,23,13,0.7415998542794948,0.08983172200866678,50.27208587498171
