fold,group,r2
2017Q1,"Greeks alone (delta,gamma,vega,theta)",0.8864364690372076
2017Q1,vega alone,0.010733819507760978
2017Q1,"quote alone (mid,spread)",0.32601033588601247
2017Q1,"contract alone (m,logm,tte,K,S,call)",0.9123579650300593
2017Q1,"contract + quote, no Greeks",0.9268407182305143
2017Q1,all twelve (the manuscript),0.9721660150688008
2017Q2,"Greeks alone (delta,gamma,vega,theta)",0.8935441669345574
2017Q2,vega alone,0.07645546871271547
2017Q2,"quote alone (mid,spread)",0.37525708458530493
2017Q2,"contract alone (m,logm,tte,K,S,call)",0.9300314197306586
2017Q2,"contract + quote, no Greeks",0.9250747979268851
2017Q2,all twelve (the manuscript),0.9729037136261662
2017Q3,"Greeks alone (delta,gamma,vega,theta)",0.881733744065582
2017Q3,vega alone,0.11383469109833066
2017Q3,"quote alone (mid,spread)",0.4180168879803602
2017Q3,"contract alone (m,logm,tte,K,S,call)",0.9522126122822833
2017Q3,"contract + quote, no Greeks",0.9539209884394612
2017Q3,all twelve (the manuscript),0.9911232924477318
2017Q4,"Greeks alone (delta,gamma,vega,theta)",0.9069799591584018
2017Q4,vega alone,0.11250365763645909
2017Q4,"quote alone (mid,spread)",0.3585072334263265
2017Q4,"contract alone (m,logm,tte,K,S,call)",0.9240848142254452
2017Q4,"contract + quote, no Greeks",0.9190229216194482
2017Q4,all twelve (the manuscript),0.9845773986485284
2018Q1,"Greeks alone (delta,gamma,vega,theta)",0.9190146100472533
2018Q1,vega alone,0.17040728762541746
2018Q1,"quote alone (mid,spread)",0.3226283760862173
2018Q1,"contract alone (m,logm,tte,K,S,call)",0.9456586575031216
2018Q1,"contract + quote, no Greeks",0.9461539610782855
2018Q1,all twelve (the manuscript),0.9907060987953469
2018Q2,"Greeks alone (delta,gamma,vega,theta)",0.9196121476769512
2018Q2,vega alone,0.14731859928904145
2018Q2,"quote alone (mid,spread)",0.40987245980920584
2018Q2,"contract alone (m,logm,tte,K,S,call)",0.9558149708271746
2018Q2,"contract + quote, no Greeks",0.9575791469686397
2018Q2,all twelve (the manuscript),0.9937941849316106
2018Q3,"Greeks alone (delta,gamma,vega,theta)",0.9075346240804294
2018Q3,vega alone,0.10978440934180722
2018Q3,"quote alone (mid,spread)",0.4121962976776179
2018Q3,"contract alone (m,logm,tte,K,S,call)",0.9342187387297636
2018Q3,"contract + quote, no Greeks",0.9375705042600122
2018Q3,all twelve (the manuscript),0.9904321849298913
2018Q4,"Greeks alone (delta,gamma,vega,theta)",0.9002622501953966
