fold,arm,d,max_features,M_blocks,n_train,n_test,r2,mae,rmse,secs
2017Q1,ET-12,12,1.0,13,30000,15000,0.9723541579915546,0.03846406606266666,0.07838261094848073,4.57499504100997
2017Q1,DynET,20,0.65,13,30000,15000,0.9787329161838401,0.03302169475999998,0.06874779706582954,4.590068582969252
2017Q1,ET-20@0.10,20,0.1,13,30000,15000,0.9590918985459427,0.049089056319333295,0.09534753661407254,1.5851826669531874
2017Q1,ET-20@0.20,20,0.2,13,30000,15000,0.9712527425013274,0.04130359642399996,0.0799287506281574,2.1874913750216365
2017Q1,ET-20@0.30,20,0.3,13,30000,15000,0.9751642768934832,0.0376536405253333,0.07429220006688259,2.8957646249909885
2017Q1,ET-20@0.40,20,0.4,13,30000,15000,0.976442536697132,0.035965699005999954,0.07235508809182661,3.327531957998872
2017Q1,ET-20@0.50,20,0.5,13,30000,15000,0.9777112409562587,0.03479806364399997,0.0703797564459102,3.6497432090109214
2017Q1,ET-20@0.60,20,0.6,13,30000,15000,0.97825238675963,0.03336308492866665,0.06952013638317528,4.302525540988427
2017Q1,ET-20@0.70,20,0.7,13,30000,15000,0.9786647069843546,0.03346907588999997,0.06885795505359574,4.774952791980468
2017Q1,ET-20@0.80,20,0.8,13,30000,15000,0.9790709399006836,0.03259733652999998,0.06819926238431423,5.100732541992329
2017Q1,ET-20@0.90,20,0.9,13,30000,15000,0.9789815444931114,0.032066010501333314,0.06834475875166858,5.598979959031567
2017Q1,ET-20@1.00,20,1.0,13,30000,15000,0.9789498482805886,0.03174497259599998,0.06839627190683575,6.218364125001244
2017Q1,ET-12@0.30,12,0.3,13,30000,15000,0.9525461810712621,0.053112715351333266,0.10269289552167073,1.8368100000079721
2017Q1,ET-12@0.50,12,0.5,13,30000,15000,0.9670679191652974,0.043504609349333284,0.08554889441839614,2.7254302499932237
2017Q1,ET-12@0.70,12,0.7,13,30000,15000,0.9703124737964042,0.04046556357199996,0.08122539277947632,3.1659174580127
2017Q2,ET-12,12,1.0,14,30000,15000,0.9723396498283905,0.024045666191333383,0.08342396852121388,4.183974166982807
2017Q2,DynET,20,0.7,14,30000,15000,0.9862801139599241,0.019818392643333325,0.05875397589148923,4.738131541002076
2017Q2,ET-20@0.10,20,0.1,14,30000,15000,0.9631075618893434,0.03206776914266669,0.09634533416644046,1.5519978330121376
2017Q2,ET-20@0.20,20,0.2,14,30000,15000,0.9765389977639102,0.025164135014000017,0.07683078829654381,2.2916073339874856
2017Q2,ET-20@0.30,20,0.3,14,30000,15000,0.9807256469734389,0.022665170924666685,0.06963890173320444,2.8527753750095144
2017Q2,ET-20@0.40,20,0.4,14,30000,15000,0.9823177729941618,0.021691571888666702,0.06670071503191904,3.438604958006181
2017Q2,ET-20@0.50,20,0.5,14,30000,15000,0.9833788852979917,0.021024550255333334,0.06466839494277346,3.840549790998921
2017Q2,ET-20@0.60,20,0.6,14,30000,15000,0.9845711546670006,0.02047928241933335,0.06230583511086605,3.9805243749869987
2017Q2,ET-20@0.70,20,0.7,14,30000,15000,0.9862801139599241,0.01981839264333332,0.05875397589148923,4.951151541958097
2017Q2,ET-20@0.80,20,0.8,14,30000,15000,0.9860517159291352,0.019655697008000007,0.05924100267657544,5.324021333013661
2017Q2,ET-20@0.90,20,0.9,14,30000,15000,0.9866192585488639,0.019434578795999996,0.058023256332791096,5.771345666027628
2017Q2,ET-20@1.00,20,1.0,14,30000,15000,0.9875560242385619,0.019160930346666653,0.05595534618073469,6.308161791006569
2017Q2,ET-12@0.30,12,0.3,14,30000,15000,0.950227331957174,0.036621168542000065,0.11190705568912837,1.8206451669684611
2017Q2,ET-12@0.50,12,0.5,14,30000,15000,0.963793196685917,0.028604714079333363,0.09544586101996926,2.6504644590313546
2017Q2,ET-12@0.70,12,0.7,14,30000,15000,0.9671727952123182,0.0262642630786667,0.09088222707572761,3.234963166003581
2017Q3,ET-12,12,1.0,14,30000,15000,0.991252166615722,0.021496361711333376,0.050318557014026224,4.4089461250114255
2017Q3,DynET,20,0.7,14,30000,15000,0.9931033951373648,0.020089681838666714,0.044678192916131836,4.9251882919925265
2017Q3,ET-20@0.10,20,0.1,14,30000,15000,0.9779459628562358,0.03269796490599998,0.07989543724522728,1.567581000039354
2017Q3,ET-20@0.20,20,0.2,14,30000,15000,0.987694048428928,0.025683229442666666,0.05968092254723765,2.235325957997702
