B,rho,seed,d,eff_rank,redundancy,all,block-rule,gain
3,0.0,0,30,29.888054049321134,0.0037315316892955197,-0.019216185973206734,-0.007592089230590737,0.011624096742615997
3,0.0,1,30,29.89754418090276,0.0034151939699079703,-0.01599393939139615,-0.007077104469567663,0.008916834921828487
3,0.0,2,30,29.903393093141187,0.0032202302286271633,-0.02141433088312894,-0.00947379034569562,0.01194054053743332
3,0.0,3,30,29.881198007003853,0.003960066433204901,-0.027754126650297195,-0.008091707221733468,0.019662419428563727
3,0.0,4,30,29.896834481474844,0.0034388506175051514,-0.021371188664192076,-0.007779806645054288,0.013591382019137788
3,0.3,0,30,23.17401873055945,0.2275327089813517,0.5291741919411015,0.48409055953168356,-0.04508363240941793
3,0.3,1,30,23.068549961811794,0.2310483346062735,0.5572385866923593,0.5162308124248376,-0.04100777426752167
3,0.3,2,30,22.95703202417284,0.23476559919423867,0.5610588403106187,0.5177413388695986,-0.04331750144102009
3,0.3,3,30,23.082329423418205,0.23058901921939312,0.5278464370185567,0.49134141120784436,-0.036505025810712355
3,0.3,4,30,23.102657927615695,0.22991140241281016,0.5397590388792062,0.4948233515521884,-0.044935687327017804
3,0.6,0,30,12.762452534044316,0.5745849155318561,0.7912852882517144,0.7695211572334923,-0.021764131018222055
3,0.6,1,30,12.70884722861618,0.5763717590461273,0.8121200830306093,0.798837377881033,-0.013282705149576302
3,0.6,2,30,12.58372973297628,0.580542342234124,0.8103920395970314,0.7990858816347497,-0.011306157962281738
3,0.6,3,30,12.675192037382168,0.5774935987539278,0.7923886488143783,0.7755927207625273,-0.01679592805185104
3,0.6,4,30,12.727715554522783,0.5757428148492405,0.8015222554835861,0.7851907164785743,-0.01633153900501183
3,0.8,0,30,7.156356851051913,0.7614547716316029,0.9010201941035622,0.8923997248618413,-0.008620469241720885
3,0.8,1,30,7.146767431460044,0.7617744189513318,0.9127159644435631,0.9112651335602681,-0.0014508308832950068
3,0.8,2,30,7.077295456187836,0.7640901514604055,0.9139546099013751,0.9109098033966103,-0.0030448065047647965
3,0.8,3,30,7.119164252479018,0.7626945249173661,0.9006761059912799,0.8984120926784718,-0.002264013312808122
3,0.8,4,30,7.15176497222343,0.761607834259219,0.9095663769552221,0.906054921546641,-0.00351145540858111
3,0.95,0,30,3.980845552174891,0.8673051482608369,0.9621583324032484,0.9612624757191047,-0.0008958566841437143
3,0.95,1,30,3.9818462782447566,0.8672717907251748,0.9677913122774748,0.9702721881364422,0.0024808758589673907
3,0.95,2,30,3.965080136734708,0.8678306621088431,0.9713860481476192,0.9707436953344983,-0.0006423528131208611
3,0.95,3,30,3.974448943203382,0.8675183685598873,0.9633870138241012,0.963896819795022,0.0005098059709207625
3,0.95,4,30,3.983171211437824,0.8672276262854058,0.9707197387954695,0.9697488057112984,-0.0009709330841710662
