seed,dataset,model,region,n,M,r2,mae
42,2019 in-sample,Dynamic ET,all,893,8,0.6464609965799237,0.07788851784994416
42,2019 in-sample,Dynamic ET,OTM,251,8,0.555934626782395,0.08558606641434284
42,2019 in-sample,Dynamic ET,ATM,304,8,0.7601109314747655,0.06068059427631587
42,2019 in-sample,Dynamic ET,ITM,318,8,0.6236281754439084,0.08776471106918259
42,2019 in-sample,ET-aug,all,893,8,0.690426632847534,0.0719247077043675
42,2019 in-sample,ET-aug,OTM,251,8,0.5975556774336719,0.07977548151394448
42,2019 in-sample,ET-aug,ATM,304,8,0.8104086900007753,0.05485227049342119
42,2019 in-sample,ET-aug,ITM,318,8,0.6649507197295342,0.08158554364779896
42,2019 in-sample,ET,all,893,8,0.7437418860495373,0.06267768296752543
42,2019 in-sample,ET,OTM,251,8,0.6599965215872725,0.07053688992031894
42,2019 in-sample,ET,ATM,304,8,0.8616267292973858,0.046029169901315996
42,2019 in-sample,ET,ITM,318,8,0.7107534321592222,0.07223054660377387
42,2019 in-sample,RF,all,893,8,0.7142206081361444,0.06825246516876587
42,2019 in-sample,RF,OTM,251,8,0.693571062384321,0.06927983710597137
42,2019 in-sample,RF,ATM,304,8,0.7988936152669993,0.05590575174402082
42,2019 in-sample,RF,ITM,318,8,0.6657740605186918,0.07905214163253695
42,2017 European,Dynamic ET,all,1700,8,-0.3860932831816595,0.12848320495294113
42,2017 European,Dynamic ET,OTM,412,8,0.13567404732698385,0.10479349473300972
42,2017 European,Dynamic ET,ATM,772,8,-0.8848581514965681,0.13449056182642496
42,2017 European,Dynamic ET,ITM,494,8,-0.39720005980266615,0.13876213202429125
42,2017 European,ET-aug,all,1700,8,-0.4988689644542068,0.1321131585176471
42,2017 European,ET-aug,OTM,412,8,0.08366793411905249,0.10599953480582529
42,2017 European,ET-aug,ATM,772,8,-1.0671337698512078,0.1390447701813473
42,2017 European,ET-aug,ITM,494,8,-0.4973008157885388,0.14319293757085003
42,2017 European,ET,all,1700,8,-0.5994095539435511,0.1354181155352941
42,2017 European,ET,OTM,412,8,-0.009045460417663964,0.1078804837135922
42,2017 European,ET,ATM,772,8,-1.1462911612072255,0.14058469053108824
42,2017 European,ET,ITM,494,8,-0.639746078192829,0.15041828044534392
42,2017 European,RF,all,1700,8,-0.6334210123004003,0.13375367823895398
42,2017 European,RF,OTM,412,8,-0.06385168202761982,0.10533248993685211
42,2017 European,RF,ATM,772,8,-1.1414889773922248,0.1382080165900376
42,2017 European,RF,ITM,494,8,-0.7141246118395215,0.1513120714271077
42,"12,110 American",Dynamic ET,all,11563,8,-0.10471763545799728,0.14152481803199862
42,"12,110 American",Dynamic ET,deep OTM,2524,8,0.07449993723060644,0.13627448015412041
42,"12,110 American",Dynamic ET,OTM,1812,8,-0.14469727498224638,0.1260979688051877
42,"12,110 American",Dynamic ET,ATM,1934,8,-0.7477996825076685,0.12667274028438485
42,"12,110 American",Dynamic ET,ITM,1586,8,-0.38059566854169624,0.1306888185479191
42,"12,110 American",Dynamic ET,deep ITM,3707,8,-0.44269626965184306,0.16502498451389253
42,"12,110 American",ET-aug,all,11563,8,-0.17187119332569,0.14466331313880487
42,"12,110 American",ET-aug,deep OTM,2524,8,0.03764055135903377,0.1380812428878763
42,"12,110 American",ET-aug,OTM,1812,8,-0.2625274664255841,0.13070452034602661
42,"12,110 American",ET-aug,ATM,1934,8,-0.9930017580412034,0.13296141012823193
42,"12,110 American",ET-aug,ITM,1586,8,-0.5148358511700155,0.1360468017080705
42,"12,110 American",ET-aug,deep ITM,3707,8,-0.47171154796091574,0.16575954874858392
42,"12,110 American",ET,all,11563,8,-0.22419469882264242,0.14740023352140455
42,"12,110 American",ET,deep OTM,2524,8,0.009509108639280783,0.14055660396632313
42,"12,110 American",ET,OTM,1812,8,-0.40925206970399386,0.1351555489564018
42,"12,110 American",ET,ATM,1934,8,-1.228306943637735,0.14024106287383692
42,"12,110 American",ET,ITM,1586,8,-0.73048652886467,0.14336173469546007
42,"12,110 American",ET,deep ITM,3707,8,-0.4292516583915267,0.16350802542837897
42,"12,110 American",RF,all,11563,8,-0.6294114275271072,0.1617281486707788
42,"12,110 American",RF,deep OTM,2524,8,-0.24123716983937715,0.15269840522004383
42,"12,110 American",RF,OTM,1812,8,-1.3867511211828414,0.15689717329413017
42,"12,110 American",RF,ATM,1934,8,-2.218784165962452,0.15439161535881765
42,"12,110 American",RF,ITM,1586,8,-1.2959459870013386,0.15646724803904008
42,"12,110 American",RF,deep ITM,3707,8,-0.6940471130414523,0.1763160752096008
7,2019 in-sample,Dynamic ET,all,893,8,0.6022202697163654,0.08053351155655092
7,2019 in-sample,Dynamic ET,OTM,281,8,0.6403000894300729,0.07046061679715286
7,2019 in-sample,Dynamic ET,ATM,305,8,0.7109103025488412,0.07026406527868852
7,2019 in-sample,Dynamic ET,ITM,292,8,0.4805912671162472,0.1022447207534247
7,2019 in-sample,ET-aug,all,893,8,0.6371734504395635,0.07586306078387456
7,2019 in-sample,ET-aug,OTM,281,8,0.6613487988008666,0.0665431583274019
7,2019 in-sample,ET-aug,ATM,305,8,0.7407617240291016,0.06627007704918042
7,2019 in-sample,ET-aug,ITM,292,8,0.5279969734523261,0.09559521054794519
7,2019 in-sample,ET,all,893,8,0.7042034617923312,0.06846909842105267
7,2019 in-sample,ET,OTM,281,8,0.7276177228185206,0.059526740569394825
7,2019 in-sample,ET,ATM,305,8,0.8000712226754341,0.05904293770491827
7,2019 in-sample,ET,ITM,292,8,0.605314926115104,0.08740326150684934
7,2019 in-sample,RF,all,893,8,0.6815603904069951,0.07062789961578933
7,2019 in-sample,RF,OTM,281,8,0.7600205830976765,0.056733277948800544
7,2019 in-sample,RF,ATM,305,8,0.7225276767017295,0.0654559680126466
7,2019 in-sample,RF,ITM,292,8,0.6049852036642954,0.08930316255121815
