setting,seed,dataset,model,region,n,M,r2,mae,cfg
transfer,42,held out,Dynamic ET,all,887,15.0,0.7990081714096028,0.0556947376621738,"{'tau': 0.9, 'min_samples_leaf': 1, 'max_depth': 24, 'min_samples_split': 2}"
transfer,42,held out,Dynamic ET,OTM,274,15.0,0.8127297976322708,0.0479551056031534,
transfer,42,held out,Dynamic ET,ATM,305,15.0,0.8210075387897736,0.04975371836694289,
transfer,42,held out,Dynamic ET,ITM,292,15.0,0.7736204736859169,0.06758839795780351,
transfer,42,2017 European,Dynamic ET,all,1700,15.0,0.060837194458891575,0.10445290500770862,"{'tau': 0.9, 'min_samples_leaf': 1, 'max_depth': 24, 'min_samples_split': 2}"
transfer,42,2017 European,Dynamic ET,OTM,412,15.0,0.4360730653428968,0.08250729567224424,
transfer,42,2017 European,Dynamic ET,ATM,772,15.0,-0.16339329128058955,0.10419655670569031,
transfer,42,2017 European,Dynamic ET,ITM,494,15.0,-0.09799923128018118,0.1231005107238862,
transfer,42,"12,110 American",Dynamic ET,all,11563,15.0,-0.27348945859765106,0.166775622125315,"{'tau': 0.9, 'min_samples_leaf': 1, 'max_depth': 24, 'min_samples_split': 2}"
transfer,42,"12,110 American",Dynamic ET,deep OTM,2524,15.0,0.031157177666819913,0.15475848656487845,
transfer,42,"12,110 American",Dynamic ET,OTM,1812,15.0,-0.5781953916948184,0.17132803616407533,
transfer,42,"12,110 American",Dynamic ET,ATM,1934,15.0,-0.8975270444944199,0.1598267645784367,
transfer,42,"12,110 American",Dynamic ET,ITM,1586,15.0,-0.8538125932473086,0.17166008560990761,
transfer,42,"12,110 American",Dynamic ET,deep ITM,3707,15.0,-0.5991489680355284,0.17426809779982452,
transfer,42,held out,ET-aug,all,887,,0.805897313916798,0.05417185540200525,"{'min_samples_leaf': 1, 'max_depth': 24, 'min_samples_split': 2}"
transfer,42,held out,ET-aug,OTM,274,,0.82771768553695,0.04558488555926888,
transfer,42,held out,ET-aug,ATM,305,,0.8267939469894626,0.04863184677454877,
transfer,42,held out,ET-aug,ITM,292,,0.7777410208588584,0.0664744110548483,
transfer,42,2017 European,ET-aug,all,1700,,0.059283953263784994,0.10363934870503132,"{'min_samples_leaf': 1, 'max_depth': 24, 'min_samples_split': 2}"
transfer,42,2017 European,ET-aug,OTM,412,,0.44793248133897556,0.08135850426488131,
transfer,42,2017 European,ET-aug,ATM,772,,-0.17273803291006984,0.10321271914902866,
transfer,42,2017 European,ET-aug,ITM,494,,-0.10284713286308311,0.12281553743126819,
transfer,42,"12,110 American",ET-aug,all,11563,,-0.3703500601295737,0.17405071199801309,"{'min_samples_leaf': 1, 'max_depth': 24, 'min_samples_split': 2}"
transfer,42,"12,110 American",ET-aug,deep OTM,2524,,-0.09194808601579085,0.16552263566424985,
transfer,42,"12,110 American",ET-aug,OTM,1812,,-0.6942103826562087,0.17789034935358425,
transfer,42,"12,110 American",ET-aug,ATM,1934,,-1.0244014860012958,0.16415018226054637,
transfer,42,"12,110 American",ET-aug,ITM,1586,,-1.013802392858472,0.17838050313859374,
transfer,42,"12,110 American",ET-aug,deep ITM,3707,,-0.6842917760033438,0.18129323089238136,
transfer,42,held out,ET,all,887,,0.8009187295073019,0.05173041933483641,"{'max_features': 1.0, 'min_samples_leaf': 1, 'max_depth': None, 'min_samples_split': 2}"
transfer,42,held out,ET,OTM,274,,0.8488450658239463,0.042083284270072775,
transfer,42,held out,ET,ATM,305,,0.8126741180009872,0.04794953229508183,
transfer,42,held out,ET,ITM,292,,0.769496152868555,0.06313403688356163,
transfer,42,2017 European,ET,all,1700,,0.0546986431740093,0.1036250795294116,"{'max_features': 1.0, 'min_samples_leaf': 1, 'max_depth': None, 'min_samples_split': 2}"
transfer,42,2017 European,ET,OTM,412,,0.4227236262013695,0.0833444024029125,
transfer,42,2017 European,ET,ATM,772,,-0.0856751539764915,0.10035384290155427,
transfer,42,2017 European,ET,ITM,494,,-0.19401650562825123,0.12546620172064757,
transfer,42,"12,110 American",ET,all,11563,,-1.975665443064044,0.2649912847037968,"{'max_features': 1.0, 'min_samples_leaf': 1, 'max_depth': None, 'min_samples_split': 2}"
transfer,42,"12,110 American",ET,deep OTM,2524,,-1.546070902252635,0.26026709392511926,
transfer,42,"12,110 American",ET,OTM,1812,,-3.7288081290146273,0.3072826458151216,
