setting,seed,dataset,model,region,n,M,r2,mae,cfg
transfer,42,held out,Dynamic ET,all,893,10.0,0.6617681657520018,0.07587471013437867,"{'tau': 0.95, 'min_samples_leaf': 1, 'max_depth': None, 'min_samples_split': 2}"
transfer,42,held out,Dynamic ET,OTM,251,10.0,0.5738492432304552,0.08388296326693254,
transfer,42,held out,Dynamic ET,ATM,304,10.0,0.7813994607193759,0.05829731674342111,
transfer,42,held out,Dynamic ET,ITM,318,10.0,0.6346152330535153,0.08572404767295622,
transfer,42,2017 European,Dynamic ET,all,1700,10.0,-0.4327472251567013,0.1301553346352941,"{'tau': 0.95, 'min_samples_leaf': 1, 'max_depth': None, 'min_samples_split': 2}"
transfer,42,2017 European,Dynamic ET,OTM,412,10.0,0.11497459926079057,0.10563745162621359,
transfer,42,2017 European,Dynamic ET,ATM,772,10.0,-0.9584986912729008,0.13652540124352347,
transfer,42,2017 European,Dynamic ET,ITM,494,10.0,-0.44174460810852345,0.1407071716599189,
transfer,42,"12,110 American",Dynamic ET,all,11563,10.0,-0.13327980563848119,0.1431558129568451,"{'tau': 0.95, 'min_samples_leaf': 1, 'max_depth': None, 'min_samples_split': 2}"
transfer,42,"12,110 American",Dynamic ET,deep OTM,2524,10.0,0.056717335736875873,0.13765581626980974,
transfer,42,"12,110 American",Dynamic ET,OTM,1812,10.0,-0.1888158898953738,0.12796198691997793,
transfer,42,"12,110 American",Dynamic ET,ATM,1934,10.0,-0.8288311986785484,0.12891593757497435,
transfer,42,"12,110 American",Dynamic ET,ITM,1586,10.0,-0.44389636889613704,0.1332705937345522,
transfer,42,"12,110 American",Dynamic ET,deep ITM,3707,10.0,-0.46078136705672357,0.16598588608659295,
transfer,42,held out,ET-aug,all,893,,0.6884027133797558,0.07217102717759884,"{'min_samples_leaf': 1, 'max_depth': 24, 'min_samples_split': 2}"
transfer,42,held out,ET-aug,OTM,251,,0.5942123455117763,0.08060937338668796,
transfer,42,held out,ET-aug,ATM,304,,0.8094057814833975,0.05490263651882859,
transfer,42,held out,ET-aug,ITM,318,,0.6634202065782175,0.08160063552339088,
transfer,42,2017 European,ET-aug,all,1700,,-0.5104222519319372,0.13272043047715176,"{'min_samples_leaf': 1, 'max_depth': 24, 'min_samples_split': 2}"
transfer,42,2017 European,ET-aug,OTM,412,,0.07318595732079147,0.10706954196056155,
transfer,42,2017 European,ET-aug,ATM,772,,-1.0893630673145793,0.13980658643334615,
transfer,42,2017 European,ET-aug,ITM,494,,-0.49928927338626705,0.14323061298661677,
transfer,42,"12,110 American",ET-aug,all,11563,,-0.17997214236469317,0.14532077517326333,"{'min_samples_leaf': 1, 'max_depth': 24, 'min_samples_split': 2}"
transfer,42,"12,110 American",ET-aug,deep OTM,2524,,0.040892732437651125,0.13840361989998082,
transfer,42,"12,110 American",ET-aug,OTM,1812,,-0.2716757742663589,0.13100911677435495,
transfer,42,"12,110 American",ET-aug,ATM,1934,,-1.0220030030961174,0.13413079407635922,
transfer,42,"12,110 American",ET-aug,ITM,1586,,-0.5272967770012891,0.13662958771277764,
transfer,42,"12,110 American",ET-aug,deep ITM,3707,,-0.4842567612654376,0.16658251557853168,
transfer,42,held out,ET,all,893,,0.7437418860495373,0.06267768296752543,"{'max_features': 1.0, 'min_samples_leaf': 1, 'max_depth': None, 'min_samples_split': 2}"
transfer,42,held out,ET,OTM,251,,0.6599965215872725,0.07053688992031894,
transfer,42,held out,ET,ATM,304,,0.8616267292973858,0.04602916990131599,
transfer,42,held out,ET,ITM,318,,0.7107534321592222,0.07223054660377387,
transfer,42,2017 European,ET,all,1700,,-0.5994095539435511,0.13541811553529412,"{'max_features': 1.0, 'min_samples_leaf': 1, 'max_depth': None, 'min_samples_split': 2}"
transfer,42,2017 European,ET,OTM,412,,-0.009045460417663964,0.1078804837135922,
transfer,42,2017 European,ET,ATM,772,,-1.1462911612072255,0.1405846905310882,
transfer,42,2017 European,ET,ITM,494,,-0.639746078192829,0.15041828044534392,
transfer,42,"12,110 American",ET,all,11563,,-0.22419469882264242,0.14740023352140455,"{'max_features': 1.0, 'min_samples_leaf': 1, 'max_depth': None, 'min_samples_split': 2}"
transfer,42,"12,110 American",ET,deep OTM,2524,,0.009509108639280783,0.14055660396632313,
transfer,42,"12,110 American",ET,OTM,1812,,-0.40925206970399386,0.1351555489564018,
transfer,42,"12,110 American",ET,ATM,1934,,-1.228306943637735,0.14024106287383695,
transfer,42,"12,110 American",ET,ITM,1586,,-0.73048652886467,0.1433617346954601,
transfer,42,"12,110 American",ET,deep ITM,3707,,-0.4292516583915267,0.16350802542837897,
transfer,42,held out,RF,all,893,,0.7536521646210234,0.06077484572601722,"{'max_features': 1.0, 'min_samples_leaf': 1, 'max_depth': None, 'min_samples_split': 2}"
transfer,42,held out,RF,OTM,251,,0.7326884880295499,0.06274625046480753,
transfer,42,held out,RF,ATM,304,,0.8516205977121555,0.0468226869517544,
transfer,42,held out,RF,ITM,318,,0.6967098743808025,0.07209109423480087,
transfer,42,2017 European,RF,all,1700,,-0.7994383479681346,0.1389269947843137,"{'max_features': 1.0, 'min_samples_leaf': 1, 'max_depth': None, 'min_samples_split': 2}"
transfer,42,2017 European,RF,OTM,412,,-0.2347910085489724,0.11114224158576043,
transfer,42,2017 European,RF,ATM,772,,-1.3554425784270272,0.1430231032383419,
transfer,42,2017 European,RF,ITM,494,,-0.8347480447038576,0.15629666504723344,
transfer,42,"12,110 American",RF,all,11563,,-0.8692442940649434,0.1660844015235377,"{'max_features': 1.0, 'min_samples_leaf': 1, 'max_depth': None, 'min_samples_split': 2}"
transfer,42,"12,110 American",RF,deep OTM,2524,,-0.3622391607304962,0.15322443359125737,
transfer,42,"12,110 American",RF,OTM,1812,,-2.0560795539736287,0.1656160063979029,
transfer,42,"12,110 American",RF,ATM,1934,,-3.1883876333188717,0.16592620294071012,
transfer,42,"12,110 American",RF,ITM,1586,,-1.737502765814423,0.16457307214312736,
transfer,42,"12,110 American",RF,deep ITM,3707,,-0.6941497394411604,0.1757985141443215,
transfer,7,held out,Dynamic ET,all,893,10.0,0.616466871401548,0.0789004269204927,"{'tau': 0.95, 'min_samples_leaf': 1, 'max_depth': None, 'min_samples_split': 2}"
transfer,7,held out,Dynamic ET,OTM,281,10.0,0.6494386638989416,0.0687826675444838,
transfer,7,held out,Dynamic ET,ATM,305,10.0,0.7234685559564689,0.06914426790163934,
transfer,7,held out,Dynamic ET,ITM,292,10.0,0.4989287463473241,0.10006539736301376,
transfer,7,2017 European,Dynamic ET,all,1700,10.0,-0.3907448253526993,0.12717737195294107,"{'tau': 0.95, 'min_samples_leaf': 1, 'max_depth': None, 'min_samples_split': 2}"
transfer,7,2017 European,Dynamic ET,OTM,412,10.0,0.12154795300442023,0.10330788538834942,
transfer,7,2017 European,Dynamic ET,ATM,772,10.0,-0.9152958459894358,0.1346118946373057,
