fold,region,arm,n,M_blocks,r2,mae
2017Q1,deep_OTM,ET-12,5144,13,0.9790005071338784,0.03311578728421462
2017Q1,deep_OTM,ET-20,5144,13,0.981459842944954,0.02791852028576982
2017Q1,deep_OTM,DynET,5144,13,0.9803653432628352,0.028872339486780738
2017Q1,OTM,ET-12,2563,13,0.6000721563374677,0.027845729824424438
2017Q1,OTM,ET-20,2563,13,0.6828691811466343,0.023611732953569997
2017Q1,OTM,DynET,2563,13,0.6610092991008112,0.025225505637924268
2017Q1,ATM,ET-12,1569,13,0.1501288615599381,0.03424300557042694
2017Q1,ATM,ET-20,1569,13,0.1745722105892208,0.03376922740599102
2017Q1,ATM,DynET,1569,13,0.14556173829123908,0.036059771408540435
2017Q1,ITM,ET-12,2326,13,0.7672769982157756,0.031649022398968225
2017Q1,ITM,ET-20,2326,13,0.8459221469550895,0.02684478854686162
2017Q1,ITM,DynET,2326,13,0.8234620477469647,0.02871339125537407
2017Q1,deep_ITM,ET-12,3398,13,0.9694813723480034,0.06118360028546204
2017Q1,deep_ITM,ET-20,3398,13,0.979707584334096,0.04609180490582691
2017Q1,deep_ITM,DynET,3398,13,0.980653208256545,0.04672984306356669
2017Q2,deep_OTM,ET-12,5761,14,0.9910985795481646,0.019519683841346877
2017Q2,deep_OTM,ET-20,5761,14,0.9924172572554962,0.016869467531678332
2017Q2,deep_OTM,DynET,5761,14,0.992231272404283,0.0171947943551465
2017Q2,OTM,ET-12,2379,14,0.9444715115916127,0.010200444119377912
2017Q2,OTM,ET-20,2379,14,0.9515601112175891,0.009376045594787729
2017Q2,OTM,DynET,2379,14,0.9419449850242498,0.01031243905002103
2017Q2,ATM,ET-12,1343,14,0.6248044145708094,0.014995594102755045
2017Q2,ATM,ET-20,1343,14,0.5594540211793477,0.016462625927029042
2017Q2,ATM,DynET,1343,14,0.5379809763339395,0.01687200152643336
2017Q2,ITM,ET-12,2111,14,0.9203701668802577,0.015461116575082996
2017Q2,ITM,ET-20,2111,14,0.9446593797553884,0.013543195589767963
2017Q2,ITM,DynET,2111,14,0.9459606120936043,0.013572133889152111
2017Q2,deep_ITM,ET-12,3406,14,0.9472553430868768,0.05026063938050532
2017Q2,deep_ITM,ET-20,3406,14,0.9802463002044939,0.03441701343805072
2017Q2,deep_ITM,DynET,3406,14,0.9775969308846778,0.03592880627715818
2017Q3,deep_OTM,ET-12,5778,14,0.9952471984301031,0.02222133964347521
2017Q3,deep_OTM,ET-20,5778,14,0.9957285903793169,0.021738818542748315
2017Q3,deep_OTM,DynET,5778,14,0.995641555998713,0.021789190112495686
2017Q3,OTM,ET-12,2466,14,0.9351291257508507,0.00987143508110305
2017Q3,OTM,ET-20,2466,14,0.9339808573143044,0.010162131062449387
2017Q3,OTM,DynET,2466,14,0.9253361775144657,0.010954599334955482
2017Q3,ATM,ET-12,1110,14,0.7361399079816704,0.01328470161261265
2017Q3,ATM,ET-20,1110,14,0.7334766589372815,0.013425963135135121
2017Q3,ATM,DynET,1110,14,0.6949053928045297,0.014518202720720703
2017Q3,ITM,ET-12,2276,14,0.9180160031975155,0.015387712921792645
2017Q3,ITM,ET-20,2276,14,0.9375227328925086,0.014464570443760968
2017Q3,ITM,DynET,2276,14,0.9359609872623352,0.014907011691564125
2017Q3,deep_ITM,ET-12,3370,14,0.9857571680397205,0.03559024121661739
2017Q3,deep_ITM,ET-20,3370,14,0.9898045664795876,0.029193560602374
2017Q3,deep_ITM,DynET,3370,14,0.9894913099658275,0.0291957511928785
2017Q4,deep_OTM,ET-12,5798,14,0.9948694681576444,0.017387049391169546
2017Q4,deep_OTM,ET-20,5798,14,0.994988784357314,0.016399092861331697
2017Q4,deep_OTM,DynET,5798,14,0.994819653466671,0.01651461036046933
2017Q4,OTM,ET-12,2251,14,0.9189882799684083,0.011869027312305628
2017Q4,OTM,ET-20,2251,14,0.947605821760543,0.010244702127943121
2017Q4,OTM,DynET,2251,14,0.9377935630499559,0.01105619862283431
2017Q4,ATM,ET-12,1080,14,0.8348738791439269,0.014559941240740705
2017Q4,ATM,ET-20,1080,14,0.839728286301302,0.014710452648148117
