fold,seed,model,r2,mae,secs
2017Q1,42,Dynamic ET,0.8523126924932837,0.0481673867456666,3.889333792001707
2017Q1,42,ET-aug,0.850880548981642,0.0480458329196666,5.014098082989221
2017Q1,42,BF-default,0.8570956377922951,0.0496068039117587,21.636440541013144
2017Q1,7,Dynamic ET,0.8507931938906821,0.0483636366626666,4.046315041006892
2017Q1,7,ET-aug,0.8499093420734349,0.0481924155409999,5.340140083004371
2017Q1,7,BF-default,0.8558643567486204,0.049655108092251,21.82729737499903
2017Q1,101,Dynamic ET,0.8515616866080256,0.0482950647529999,3.828584792005131
2017Q1,101,ET-aug,0.8515557370851581,0.0478737145886666,5.074525040996377
2017Q1,101,BF-default,0.8545514307569997,0.0502472629025869,21.840070000005653
2017Q1,2024,Dynamic ET,0.852150241607348,0.0478584422773333,3.930021874999511
2017Q1,2024,ET-aug,0.8496944594275733,0.0482177329643333,5.505223458996625
2017Q1,2024,BF-default,0.8548337231414289,0.0503002056877659,22.564795750004123
2017Q1,13,Dynamic ET,0.8523397959108853,0.0480851340309999,3.7807917919999454
2017Q1,13,ET-aug,0.8514089587885606,0.048031528382,5.499872542000958
2017Q1,13,BF-default,0.854400454457895,0.0502634215273847,22.80108075001044
2017Q2,42,Dynamic ET,0.9251814729104094,0.0262810574533333,3.822289333009394
2017Q2,42,ET-aug,0.9242579291387082,0.0264689113223333,5.508232082996983
2017Q2,42,BF-default,0.9153230072850056,0.0276904201871796,22.611105165997287
2017Q2,7,Dynamic ET,0.9255467923243824,0.0262679028293333,3.623000999999931
2017Q2,7,ET-aug,0.9249180942973316,0.0264446125269999,5.317535708003561
2017Q2,7,BF-default,0.9149788580687596,0.0278335006932018,21.133172834001016
2017Q2,101,Dynamic ET,0.925072986413303,0.0263189884226666,3.4765125830017496
2017Q2,101,ET-aug,0.9247394913986408,0.0264601394636666,4.679690625009243
2017Q2,101,BF-default,0.9156414645607108,0.0277234263546873,20.979428791993996
2017Q2,2024,Dynamic ET,0.9254739872061576,0.0262742649379999,3.444663207992562
2017Q2,2024,ET-aug,0.9244142273792376,0.0264552920469999,5.172050165987457
2017Q2,2024,BF-default,0.9159544953717258,0.0276336189556837,21.292025500006275
2017Q2,13,Dynamic ET,0.9252660267500448,0.0262890721543333,3.4307310420117574
2017Q2,13,ET-aug,0.9241890942352768,0.0264495977166666,5.134727208002005
2017Q2,13,BF-default,0.9154777016661556,0.0278347339368728,21.712076791998697
