fold,model,r2,mae,secs
2017Q1,Dynamic ET,0.8523126924932837,0.04816738674566666,6.7929636250046315
2017Q1,Dynamic ET (searched),0.8713408933062868,0.04619614660245016,2.432424375001574
2017Q1,Rotation Forest,0.4627917317518695,0.10992467859409216,42.086917000007816
2017Q1,TabPFN,0.8705945457578546,0.03846471003182507,151.8700922499993
2017Q1,TabNet,0.8555220498308769,0.045727027058839166,39.79434758400021
2017Q2,Dynamic ET,0.9251814729104094,0.02628105745333334,3.501394708000589
2017Q2,Dynamic ET (searched),0.927776136494694,0.026762762386114053,1.5467613749933662
2017Q2,Rotation Forest,0.9007072576640572,0.030478844711103823,44.786033208991284
2017Q2,TabPFN,0.9212093861346267,0.0264196513446509,142.87537733300996
2017Q2,TabNet,0.8483629045569445,0.05178087805591885,77.86734495799465
2017Q3,Dynamic ET,0.9089311469419379,0.03446365782599999,6.359470708004665
2017Q3,Dynamic ET (searched),0.9182956179006007,0.03383461590591197,3.823741207990679
2017Q3,Rotation Forest,0.9106324643275674,0.0341603130783738,44.161686624996946
2017Q3,TabPFN,0.903728623759733,0.03445061069307359,151.18610000000626
2017Q3,TabNet,0.868468274631072,0.04338037969336239,69.35497795799165
2017Q4,Dynamic ET,0.9190289027654727,0.03041285420933335,4.993797457995242
2017Q4,Dynamic ET (searched),0.9269441390284772,0.030016219230220055,2.9387361670087557
2017Q4,Rotation Forest,0.8898824752141722,0.03832084314233831,42.81268954099505
2017Q4,TabPFN,0.9053748866838242,0.03179462762544155,161.0221118329937
2017Q4,TabNet,0.9063293750274268,0.03653792972860178,70.18236825001077
2018Q1,Dynamic ET,0.9139149238291752,0.03405463965999999,4.486832583992509
2018Q1,Dynamic ET (searched),0.9154444479692019,0.034001991063762504,2.9321210000052815
2018Q1,Rotation Forest,0.89419802847108,0.03712388113621524,43.347204958001385
2018Q1,TabPFN,0.9217021820015368,0.03222054026902675,178.4348249159957
2018Q1,TabNet,0.9075793069053164,0.038666840711423234,54.64703958299651
2018Q2,Dynamic ET,0.937936458758364,0.030282104026666704,4.679954042003374
2018Q2,Dynamic ET (searched),0.9423396910005583,0.03064279433825913,2.210336415999336
2018Q2,Rotation Forest,0.8574499616813082,0.05189356270078365,43.117443457987974
2018Q2,TabPFN,0.9448290843736568,0.02687095591293208,168.29904162499588
2018Q2,TabNet,0.9052551821797482,0.0392208458380448,65.56750108400593
2018Q3,Dynamic ET,0.939567293416633,0.031316422936666685,4.111744957990595
2018Q3,Dynamic ET (searched),0.9408659694805319,0.03129884696909381,3.6829601250065025
2018Q3,Rotation Forest,0.7715592584884748,0.06495533944953392,42.6110467499966
2018Q3,TabPFN,0.9074154312662046,0.04166597980767949,159.08810824999819
2018Q3,TabNet,0.9004069382312702,0.04614965550210762,72.37775366700953
2018Q4,Dynamic ET,0.8458885186267247,0.062357740882666664,4.189293542003725
2018Q4,Dynamic ET (searched),0.8453879731010581,0.0626419425269048,2.69756170900655
2018Q4,Rotation Forest,0.8147581624797904,0.0656020075616122,43.082874833009555
2018Q4,TabPFN,0.8445827378959994,0.06158261043857654,175.10715854199952
2018Q4,TabNet,0.6628147145950591,0.08326724609204578,57.47871550000855
2019Q1,Dynamic ET,0.9291436589524662,0.037347915353666675,3.755178124993108
2019Q1,Dynamic ET (searched),0.9317087516376685,0.036185357902769145,2.3444100829947274
2019Q1,Rotation Forest,0.9063166451887449,0.041929624636463214,41.41475645900937
2019Q1,TabPFN,0.9119985492256604,0.04422819841774623,174.09502216598776
2019Q1,TabNet,0.9209895073674144,0.040878312458643914,34.82889654200699
2019Q2,Dynamic ET,0.9206489961931044,0.036251585657333364,3.165288958000019
2019Q2,Dynamic ET (searched),0.9226545228444131,0.03578108368478454,2.2418751250079367
2019Q2,Rotation Forest,0.9032415096736714,0.0376499074028397,40.91097991699644
2019Q2,TabPFN,0.9265186848356155,0.03618734400082493,150.91966558300192
2019Q2,TabNet,0.8923097163827263,0.04478739259676234,51.63653829199029
2019Q3,Dynamic ET,0.9276793392935597,0.02997203496833335,3.5754781249997905
2019Q3,Dynamic ET (searched),0.9283727720410611,0.029724523989760512,3.1829289580055047
2019Q3,Rotation Forest,0.9154946586863799,0.03078591822381705,42.531315625004936
2019Q3,TabPFN,0.9258828342533942,0.031725170467051186,143.10001100000227
2019Q3,TabNet,0.9229776775427564,0.03208341777321752,46.65891900000861
2019Q4,Dynamic ET,0.9141615713095856,0.03320434062566664,3.590051457998925
2019Q4,Dynamic ET (searched),0.9170079893000276,0.03308951512966598,1.2751204170053825
2019Q4,Rotation Forest,0.8456257579744091,0.046938637503629616,42.136877458993695
2019Q4,TabPFN,0.9270735629057782,0.029640857163129804,137.70561737500248
2019Q4,TabNet,0.7325569416439666,0.0639118666565024,52.07788158299809
2020Q1,Dynamic ET,0.6320320598156036,0.09775645245066668,3.539916916997754
2020Q1,Dynamic ET (searched),0.6304118677404267,0.0981816706199567,2.0540257499960717
2020Q1,Rotation Forest,0.5893449986569166,0.10251025304530911,42.58748029200069
2020Q1,TabPFN,0.6432503014871516,0.09618561350044535,139.87256708400673
2020Q1,TabNet,0.5296816553863066,0.1148646894650844,46.564000915997894
2020Q2,Dynamic ET,0.8862312640923662,0.06091069515666667,3.666618749994086
2020Q2,Dynamic ET (searched),0.8862312640923662,0.06091069515666667,3.5478457499993965
2020Q2,Rotation Forest,0.8558002883131663,0.06247435379772723,41.65610700000252
2020Q2,TabPFN,0.8755457895624692,0.06872397688384835,137.51588883300428
2020Q2,TabNet,0.8591217907940857,0.06653000963959377,63.588210499990964
2020Q3,Dynamic ET,0.7496315150089418,0.09319133462266672,3.8757706659962423
2020Q3,Dynamic ET (searched),0.7460007022547674,0.09500771836442844,2.5941050840046955
2020Q3,Rotation Forest,0.7181839519557645,0.09200755073467241,41.43105545899016
2020Q3,TabPFN,0.7897827874466405,0.07691750455160937,143.25543279199337
2020Q3,TabNet,0.3885212184979313,0.14598433257744342,50.097548709003604
2020Q4,Dynamic ET,0.7329924764609901,0.0893411636140002,3.9746673749905312
2020Q4,Dynamic ET (searched),0.7571873148778091,0.08278997608873727,1.9544833340041805
2020Q4,Rotation Forest,0.6984088893073175,0.09627087396589319,42.47946237499127
2020Q4,TabPFN,0.6929228717728334,0.09817619650783284,139.46999658300774
2020Q4,TabNet,0.5767223627484432,0.1084084511675911,50.88343758399424
