fold,arm,M,d,r2,mae
2017Q1,"uniform, m=M",9,15,0.8518822715934247,0.04822080743533333
2017Q1,"stratified, one per block",9,15,0.852490338778937,0.048860766834999986
2017Q2,"uniform, m=M",9,15,0.924931652126243,0.026339195181666657
2017Q2,"stratified, one per block",9,15,0.9241784668973478,0.026247344631000015
2017Q3,"uniform, m=M",9,15,0.9092711043780677,0.034404854526666646
2017Q3,"stratified, one per block",9,15,0.9081637979566349,0.03407406764266665
2017Q4,"uniform, m=M",9,15,0.9188067796518545,0.03043720762533335
2017Q4,"stratified, one per block",9,15,0.9203888934038428,0.030392927719333346
2018Q1,"uniform, m=M",8,15,0.9136057878107382,0.03408517899133332
2018Q1,"stratified, one per block",8,15,0.9147378559583528,0.03347012518266668
2018Q2,"uniform, m=M",8,15,0.9381017434921443,0.03022437394600003
2018Q2,"stratified, one per block",8,15,0.9378200217790116,0.029920158072666705
2018Q3,"uniform, m=M",7,15,0.9393817976421015,0.03133913827000001
2018Q3,"stratified, one per block",7,15,0.941676117322223,0.030479496773333337
2018Q4,"uniform, m=M",7,15,0.8457654213996311,0.06232835262200001
2018Q4,"stratified, one per block",7,15,0.8454481405185044,0.06181940006866663
2019Q1,"uniform, m=M",7,15,0.9298963210071369,0.03726592237166668
2019Q1,"stratified, one per block",7,15,0.9258774253569795,0.03917642200133335
2019Q2,"uniform, m=M",7,15,0.9206049428773003,0.03620428930200002
2019Q2,"stratified, one per block",7,15,0.9179868208667834,0.0361150954446667
2019Q3,"uniform, m=M",7,15,0.9278356245146702,0.029913534136000005
2019Q3,"stratified, one per block",7,15,0.9273369931574791,0.030258189361666677
2019Q4,"uniform, m=M",7,15,0.9135884341274102,0.03334347814799997
2019Q4,"stratified, one per block",7,15,0.9148520016696771,0.033106008957333295
2020Q1,"uniform, m=M",7,15,0.6324661353746642,0.09773425251500001
2020Q1,"stratified, one per block",7,15,0.6415725378552299,0.09652666969800004
2020Q2,"uniform, m=M",7,15,0.8866222508706201,0.06081093654733333
2020Q2,"stratified, one per block",7,15,0.8878892438400162,0.06080054469533331
2020Q3,"uniform, m=M",7,15,0.7483242850991687,0.09344737279966672
2020Q3,"stratified, one per block",7,15,0.7564976028675509,0.09036049610066672
2020Q4,"uniform, m=M",8,15,0.7332758120399117,0.08934682038466683
2020Q4,"stratified, one per block",8,15,0.6953729505361826,0.09671976957266687
