fold,n_train,model,r2,mae,secs,error
2017Q1,3000,Dynamic ET,0.846908133660025,0.04830375351066653,0.5584632079990115,
2017Q1,3000,ET-aug,0.8482235697988316,0.0474555390666665,0.6671582080016378,
2017Q1,3000,TabPFN,,,,"TabPFN requires a one-time license acceptance to download
model weights for local inferenc"
2017Q1,10000,Dynamic ET,0.855415636753291,0.04750186781666662,1.331661249991157,
2017Q1,10000,ET-aug,0.8532266461278497,0.04812015314266663,1.9387062500027241,
2017Q1,10000,TabPFN,,,,"TabPFN requires a one-time license acceptance to download
model weights for local inferenc"
2017Q2,3000,Dynamic ET,0.9052871127680179,0.031025056294000052,0.7856135829933919,
2017Q2,3000,ET-aug,0.9072418763794463,0.03084675948533337,0.8893059170077322,
2017Q2,3000,TabPFN,,,,"TabPFN requires a one-time license acceptance to download
model weights for local inferenc"
2017Q2,10000,Dynamic ET,0.9261001236484403,0.02735288693733329,1.4783586249977816,
2017Q2,10000,ET-aug,0.9245401853862755,0.027524253177333282,1.9195577079954091,
2017Q2,10000,TabPFN,,,,"TabPFN requires a one-time license acceptance to download
model weights for local inferenc"
2017Q3,3000,Dynamic ET,0.8847189809459465,0.03533566117266681,0.7891125830064993,
2017Q3,3000,ET-aug,0.8830013164070227,0.03602830600266682,0.9776171669946052,
2017Q3,3000,TabPFN,,,,"TabPFN requires a one-time license acceptance to download
model weights for local inferenc"
2017Q3,10000,Dynamic ET,0.8927009404192562,0.034795258904666754,1.5540526250115363,
2017Q3,10000,ET-aug,0.8887251042918993,0.03512301264666673,1.9677965419978136,
2017Q3,10000,TabPFN,,,,"TabPFN requires a one-time license acceptance to download
model weights for local inferenc"
2017Q4,3000,Dynamic ET,0.9138622988286929,0.032292705547333246,0.7730520409968449,
2017Q4,3000,ET-aug,0.9153933455895789,0.03214979952799992,1.1148364170076093,
2017Q4,3000,TabPFN,,,,"TabPFN requires a one-time license acceptance to download
model weights for local inferenc"
2017Q4,10000,Dynamic ET,0.9257358031239447,0.030604319839333295,1.5166956659959396,
2017Q4,10000,ET-aug,0.9237382740749703,0.03079097016266663,1.898027709001326,
2017Q4,10000,TabPFN,,,,"TabPFN requires a one-time license acceptance to download
model weights for local inferenc"
2018Q1,3000,Dynamic ET,0.904573295695287,0.034983492031333344,0.7858522919996176,
2018Q1,3000,ET-aug,0.9057975125934262,0.03533275538266669,0.9050953340047272,
2018Q1,3000,TabPFN,,,,"TabPFN requires a one-time license acceptance to download
model weights for local inferenc"
2018Q1,10000,Dynamic ET,0.9072251160376379,0.033320772694666656,1.3954287079977803,
2018Q1,10000,ET-aug,0.9088973699438847,0.03345419757199999,1.9425403749919496,
2018Q1,10000,TabPFN,,,,"TabPFN requires a one-time license acceptance to download
model weights for local inferenc"
2018Q2,3000,Dynamic ET,0.9113709401695421,0.03448043072133334,0.7423651669960236,
2018Q2,3000,ET-aug,0.9144386974304034,0.03400539697333333,0.9213308750040596,
2018Q2,3000,TabPFN,,,,"TabPFN requires a one-time license acceptance to download
model weights for local inferenc"
2018Q2,10000,Dynamic ET,0.9264578383327665,0.032052485454666685,1.5858968340035062,
2018Q2,10000,ET-aug,0.9274409749631253,0.031519702146000014,2.0555834580009105,
2018Q2,10000,TabPFN,,,,"TabPFN requires a one-time license acceptance to download
model weights for local inferenc"
2018Q3,3000,Dynamic ET,0.913958121941871,0.03355451373000006,0.6912044999917271,
2018Q3,3000,ET-aug,0.9155093712348645,0.03330499602266671,0.9850831660005497,
2018Q3,3000,TabPFN,,,,"TabPFN requires a one-time license acceptance to download
model weights for local inferenc"
2018Q3,10000,Dynamic ET,0.9278399577620481,0.031556154360666666,1.372630540994578,
