fold,model,fit_s,pred_s,r2
2017Q3,Dynamic ET,3.4124914169951808,0.19819808299507713,0.9089311469419379
2017Q3,ET-aug,4.669033082995156,0.20234458300546976,0.9088945433917685
2017Q3,ET,2.7232802910002647,0.201626625006611,0.911210247673885
2017Q3,RF,1.3870597920031287,0.037772583003970794,0.9139520476848872
2017Q3,GBR,6.62239554199914,0.025255374996049795,0.897279957974687
2017Q3,XGBoost,1.3416103339986876,0.007444124996254686,0.9049042446663865
2017Q3,LightGBM,7.8611506250017555,0.041243167004722636,0.9032710830860026
2017Q3,CatBoost,0.6808806670014746,0.019660292004118674,0.9080961377904672
2017Q3,SVI,3.4624046249955427,0.02315900000394322,0.7741147800531948
2017Q3,Heston,2.0588854999950854,0.5070315830016625,-0.016679725068619478
2017Q3,MLP,3.6593733340050676,0.00890225000330247,0.8853549760650485
2018Q3,Dynamic ET,2.515704499994172,0.18192733300384134,0.939567293416633
2018Q3,ET-aug,4.643616207999003,0.18527829199592816,0.9393330346729889
2018Q3,ET,2.551722082993365,0.17135645799862687,0.9258675725855932
2018Q3,RF,1.361417291998805,0.03945254199788906,0.9347011420603593
2018Q3,GBR,6.714853707999282,0.02447316699544899,0.9258136594588304
2018Q3,XGBoost,1.3099476669958676,0.00689454200619366,0.9294225194342317
2018Q3,LightGBM,6.562051124994468,0.04640287499933038,0.9210843397139853
2018Q3,CatBoost,0.5787376250009402,0.001578875002451241,0.9382782221231474
2018Q3,SVI,3.590689916003612,0.024872582995158155,0.7979835784930148
2018Q3,Heston,2.0550192919981782,0.49268929100071546,-0.009146758346660011
2018Q3,MLP,3.230418250001094,0.006170999993628357,0.8030438364252417
2019Q3,Dynamic ET,2.595543417002773,0.22542533299565548,0.9276793392935597
2019Q3,ET-aug,4.487508541998977,0.2164309579966357,0.925981470541498
2019Q3,ET,2.609123042006104,0.21237949999340344,0.923895746173601
2019Q3,RF,1.3878517919947626,0.039443499998014886,0.9284388945800645
2019Q3,GBR,6.7309628750008414,0.023543499999505002,0.9177035008354746
2019Q3,XGBoost,1.302837333001662,0.0071456250007031485,0.9087635116423798
2019Q3,LightGBM,6.5544853750034235,0.045025499995972496,0.9067921973166987
2019Q3,CatBoost,0.5857990000004065,0.001386666001053527,0.9262620155329864
2019Q3,SVI,3.4795986659955815,0.02274920800118707,0.7547381821338084
2019Q3,Heston,2.058130165998591,0.48707712499890476,-0.00029091756638965904
2019Q3,MLP,2.705278499997803,0.005558582997764461,0.9065473407697098
