ticker,fold,model,M_blocks,d,n_train,n_test,r2,mae,rmse,fit_s
AAPL,2017Q1,MLP,9,7,30000,15000,0.5345891577799555,0.11258559216700972,0.1508865989045295,1.4694542079996609
AAPL,2017Q1,LSTM,9,7,30000,15000,0.7784292123714835,0.060657375155628204,0.10410909515013442,146.00202974999956
AAPL,2017Q1,GRU,9,7,30000,15000,0.7638285061452105,0.06140271761905861,0.10748457893002887,135.82119745800082
AAPL,2017Q1,iTransformer,9,7,30000,15000,0.8735796685445034,0.039673356999818804,0.07863952533606916,82.95820925000044
AAPL,2017Q1,FT-Transformer,9,7,30000,15000,0.8757182147956903,0.04162158289418157,0.07797154908723873,115.14602537499923
AAPL,2017Q2,MLP,9,7,30000,15000,0.8726892203864792,0.04202059268067933,0.07322930315999564,1.8798982500011334
AAPL,2017Q2,LSTM,9,7,30000,15000,0.8664917520203409,0.03321106112410863,0.07499051929401306,136.8141789579986
AAPL,2017Q2,GRU,9,7,30000,15000,0.8907834367349187,0.03303879581486447,0.06782605627018332,125.780268333001
AAPL,2017Q2,iTransformer,9,7,30000,15000,0.8909081586548319,0.031789303947770436,0.06778731758359148,107.55148924999958
AAPL,2017Q2,FT-Transformer,9,7,30000,15000,0.8915433646570904,0.03159962241618283,0.06758967781007451,119.21783474999938
AAPL,2017Q3,MLP,9,7,30000,15000,0.8853549760650485,0.038535216453749264,0.06983141626730843,2.9096876250005153
AAPL,2017Q3,LSTM,9,7,30000,15000,0.8925439112671913,0.03870010909128602,0.06760654776831004,138.1197833340011
AAPL,2017Q3,GRU,9,7,30000,15000,0.9021803041158882,0.03484933560959689,0.06450396329289702,123.36443445799887
AAPL,2017Q3,iTransformer,9,7,30000,15000,0.8900170706958417,0.03739208006009769,0.06839681628688452,84.07954687500023
AAPL,2017Q3,FT-Transformer,9,7,30000,15000,0.8936567486615927,0.03785823798902448,0.06725556301680186,114.70497712500037
AAPL,2017Q4,MLP,9,7,30000,15000,0.8853904006281228,0.041081146585591644,0.07878342525393572,2.3763626659983856
AAPL,2017Q4,LSTM,9,7,30000,15000,0.8880029618675235,0.03565975407488346,0.0778803025804006,134.8959784159997
AAPL,2017Q4,GRU,9,7,30000,15000,0.9096098298979146,0.03226300437115383,0.06996566450907679,175.92528675000176
AAPL,2017Q4,iTransformer,9,7,30000,15000,0.9019625628055989,0.03116912044967747,0.07286522936693884,84.25691495800129
AAPL,2017Q4,FT-Transformer,9,7,30000,15000,0.9078901578126931,0.031805611714078585,0.07062807679140407,114.469507875001
AAPL,2018Q1,MLP,8,7,30000,15000,0.8696723938145587,0.04613655218109725,0.08297935439107186,3.1136859170001117
AAPL,2018Q1,LSTM,8,7,30000,15000,0.9076130381609133,0.03599032957358043,0.06986460132021945,135.86190350000106
